platform,audit_bucket,strict_verdict,april_file_count,april_sheet_count,has_platform_dir,has_april_dir,parser_type,title_source,id_source,sale_amount_source,settlement_amount_source,offset_source,exclusion_rule,main_risk,next_action,april_files,sheet_names,header_rows_seen,raw_audit_flags
교보,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
구글,C_special_adapter_required,영문 Google export 특수 어댑터 필요,1,1,True,True,single_sheet_english_export,Title,Id / Product / Primary ISBN 후보 확인 필요,Publisher Revenue / Payment Amount / 법인세 차감 후 금액 중 업무 기준 확정 필요,Publisher Revenue 또는 법인세 차감 후 금액 후보,미국 원천징수세 / 법인세 차감 로직 확인 필요,없음,한국어 헤더 정규화로는 누락된다. 세금 차감 전후 금액 중 어떤 값을 S2 판매금액/정산기준액으로 쓸지 확정 필요.,Google 전용 컬럼 매핑표와 금액 기준 확정,구글\4월\2026년 4월 구글 정산상세(법인세).xlsx,GoogleSalesTransactionReport,1,
네이버,C_special_adapter_required,2행 병합 헤더 + 파일 선별 규칙 필요,9,9,True,True,multi_file_two_row_merged_header,컨텐츠,컨텐츠No / 공급자코드 후보,합계 및 이용권/쿠키 그룹별 금액 후보,마켓수수료(추정치) 차감 후 계산 여부 확인 필요,유상 이용권 보정 / 마켓수수료(추정치),선투자 통합 파일은 개별 선투자 파일과 중복 가능성이 있어 기본 제외/검토,상단 그룹 헤더와 하위 헤더를 결합해야 컬럼 의미가 산다. 통합 파일을 함께 먹이면 중복 집계 위험.,"2행 헤더 flatten 규칙, 선투자 파일 포함/제외 기준, 합계/수수료 사용 기준 확정",네이버\4월\2026년 4월 네이버 연재 정산상세.xlsx | 네이버\4월\2026년 4월 네이버 장르 정산상세.xlsx | 네이버\4월\선투자\2026년 4월 네이버 간딴 정산상세.xlsx | 네이버\4월\선투자\2026년 4월 네이버 김악개 정산상세.xlsx | 네이버\4월\선투자\2026년 4월 네이버 낙필 정산상세.xlsx | 네이버\4월\선투자\2026년 4월 네이버 북홀릭 정산상세.xlsx | 네이버\4월\선투자\2026년 4월 네이버 선투자 정산상세(통합).xlsx | 네이버\4월\선투자\2026년 4월 네이버 차라리 정산상세.xlsx | 네이버\4월\선투자\2026년 4월 네이버 호수 정산상세.xlsx,contentsSelling_2026-05-06,3,filename_human_work_signal | merged_cells
노벨피아,A_generic_adapter_candidate,일반 어댑터 후보,1,1,True,True,single_header_table,상품명 / 작가명,작품코드,판매금액 / 취소금액 / 판매합계,정산금액,취소금액,없음,취소금액을 상계금액으로 둘지 판매금액에서 차감할지 기준 필요.,취소/판매합계 처리 규칙만 확정하면 어댑터 작성 가능,노벨피아\4월\2026년 4월 노벨피아 정산상세.xlsx,일별 정산,1,merged_cells
로망띠끄,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
리디북스,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
모픽,A_generic_adapter_candidate,일반 어댑터 후보,1,1,True,True,single_header_table,작품명 / 작가명,없음,총 매출액 / 순 매출액,정산액,총 매출액-순 매출액 또는 별도 없음,없음,총매출과 순매출 중 S2 판매금액/정산기준액 대응을 정해야 한다.,총/순 매출 사용 기준 확정,모픽\4월\2026년 4월 모픽 정산상세.xlsx,작품별정산,1,
무툰,B_amount_semantics_required,금액 의미 확인 필요,1,1,True,True,single_header_table_with_merged_title_row,타이틀 / 작가,없음,사용코인 / 취소코인 / 합계,정산총액,공제수수료 / 취소코인,없음,"코인이 곧 원화인지, 합계와 정산총액 중 어느 값을 S2 금액으로 쓸지 확정 필요.",무툰/큐툰 공통 코인 금액 변환·상계 기준 확정,무툰\4월\2026년 4월 무툰 정산상세.xlsx,Sheet,2,merged_cells
문피아,A_generic_adapter_candidate,일반 어댑터 후보,1,1,True,True,single_header_table,작품 / 작가,작품코드,총매출 / IOS매출 / Google매출,정산,구매취소 / 대여취소,없음,IOS/Google 매출을 총매출에 이미 포함된 항목으로 볼지 별도 검산용으로 볼지 확인 필요.,총매출 기준 확정 후 어댑터 작성,문피아\4월\2026년 4월 문피아 정산상세.xlsx,다우인큐브,1,
미소설,A_generic_adapter_candidate,일반 어댑터 후보,1,1,True,True,single_header_table,타이틀 / 작가명,작품번호,전체매출(원),총지급액(원) 또는 지급액(원) ASP 후보,결제수수료(원),없음,지급액 미소설/ASP/총지급액 중 S2 정산기준액 대응 확정 필요.,지급액 컬럼 선택 기준 확정,미소설\4월\2026년 4월 미소설 정산상세.xlsx,cpexcel20260504104935,1,
미스터블루,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
밀리의서재,A_generic_adapter_candidate,일반 어댑터 후보,1,1,True,True,single_header_table,콘텐츠명 / 저자명,전자출판물 ISBN / 유통사 상품코드,발생 금액,정산 예정 금액,없음 또는 발생 금액-정산 예정 금액,없음,이전 전수조사에서 헤더 탐지가 약했으나 4월 원형은 정상 표 구조다. 에피소드명 집계 단위 확인 필요.,콘텐츠명/에피소드명 집계 키 확정,밀리의서재\4월\2026년 4월 밀리의서재 정산상세.xlsx,list,1,
보인&국립장애인도서관,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
부커스,B_amount_semantics_required,복사본 제외 + 판매금액 파생 규칙 필요,2,2,True,True,single_header_table_with_duplicate_copy,콘텐츠 제목 / 저자명,ISBN,정가 × 열람 횟수 후보,정산 금액(원),정산율(%) 기반 계산 후보,"`- 복사본` 파일 제외, 원본 파일만 사용",판매금액 컬럼이 직접 없어서 S2 판매금액을 파생해야 할 수 있다. 복사본을 같이 먹이면 중복.,복사본 제외 룰과 판매금액 파생 여부 확정,부커스\4월\2026년 4월 부커스 정산상세 - 복사본.xlsx | 부커스\4월\2026년 4월 부커스 정산상세.xlsx,CP 콘텐츠별 정산,1,filename_human_work_signal
북큐브,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
북팔,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
블라이스,A_generic_adapter_candidate,일반 어댑터 후보,1,1,True,True,single_header_table_with_merged_cells,작품명 / 작가명,작품NO,판매액,정산금액,수수료,없음,수수료 설명이 긴 병합 헤더라 컬럼명 정규화 필요.,컬럼명 정규화 후 어댑터 작성,블라이스\4월\2026년 4월 블라이스 정산상세.xlsx,CP정산20260506_085425,1,merged_cells
스낵북,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
스토린랩,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
신영미디어,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
알라딘,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
알라딘 종이책,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
에이블리,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
에피루스,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
예스24,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
올툰,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
원스토어,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
윌라,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
조아라,B_amount_semantics_required,4개 파일/2개 스키마 + 판매금액 파생 규칙 필요,4,4,True,True,multi_file_two_schema_single_header,작품명 / 작가명,작품코드,단가 × 판매건수 후보. 단행본 파일은 단가 컬럼 없음,정산금액,없음,"로맨스/판무, 단행본/연재 파일 모두 별도 입력으로 합산",단행본 7컬럼에는 단가가 없어 판매금액 직접 산출이 안 된다. 정산금액만 안정적.,단행본 판매금액을 비워둘지/역산할지/정산금액으로 대체할지 결정,조아라\4월\로맨스\2026년 4월 조아라 로맨스 단행본 정산상세.xlsx | 조아라\4월\로맨스\2026년 4월 조아라 로맨스 정산상세.xlsx | 조아라\4월\판무\2026년 4월 조아라 판무 단행본 정산상세.xlsx | 조아라\4월\판무\2026년 4월 조아라 판무 정산상세.xlsx,작품별 정산리스트_2026-4 | 작품별 정산리스트_2026-4 (1),1,
카카오,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
큐툰,B_amount_semantics_required,금액 의미 확인 필요,1,1,True,True,single_header_table_with_merged_title_row,타이틀 / 작가,없음,사용코인 / 취소코인 / 합계,정산총액,공제수수료 / 취소코인,없음,무툰과 같은 형태. 코인/원화 의미와 상계 기준 확정 필요.,무툰/큐툰 공통 어댑터 기준 확정,큐툰\4월\2026년 4월 큐툰 정산상세.xlsx,Sheet,2,merged_cells
토스(구루컴퍼니),D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
판무림,C_special_adapter_required,표지 제외 + 다중 금액 컬럼 특수 처리 필요,1,2,True,True,workbook_with_cover_and_detail_sheet,세부내역!작품 제목 / 회차 제목 / 저자,시리즈 코드 / 각 권 코드,소장/대여/정액제/포인트 사용 구간의 판매금액 합산 후보,정산비율 또는 표지 요약과 결합 필요,포인트 사용 후보,"`표지` 시트 제외, `세부내역`만 파싱",판매금액 컬럼명이 여러 번 반복된다. 상단 문맥 행을 결합하지 않으면 금액 의미가 무너진다.,"상단 문맥+헤더 flatten, 표지 정산비율 적용 여부 확정",판무림\4월\2026년 4월 판무림 정산상세.xlsx,세부내역 | 표지,19 | 4,aux_sheet_name_signal | merged_cells
피우리(누온),D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
피플앤스토리,A_generic_adapter_candidate,일반 어댑터 후보이나 샘플 행 적음,1,1,True,True,single_header_table,작품명 / 작가명,ISBN / 관리코드,판매금액(원),정산금액(원),없음 또는 판매금액-정산금액,없음,4월 샘플이 5행뿐이라 변형 검증력이 낮다.,다른 월 샘플 1개로 동일 스키마 확인,피플앤스토리\4월\2026년 4월 피플앤스토리 정산상세.xlsx,다운로드,1,merged_cells
하이북,A_generic_adapter_candidate,일반 어댑터 후보,1,1,True,True,single_header_table,작품명 / 작가명,prodSq,판매금액(구매) / 판매금액(대여) / 판매금액,정산금액(구매) / 정산금액(대여) / 정산금액,없음 또는 판매금액-정산금액,없음,구매/대여별 행을 유지할지 작품 단위로 합산할지 정해야 한다.,구매/대여 집계 단위 확정,하이북\4월\2026년 4월 하이북 정산상세.xlsx,정산리스트,1,
한아름,C_special_adapter_required,비정형 다중 표. 일반 헤더 정규화 불가,1,1,True,True,non_rectangular_multi_section_sheet,반복 섹션별 작품명 컬럼(E 또는 G),BOOK NO,건당 로그 섹션의 금액. 시간 로그 섹션은 히트만 있음,상단 정산금액 요약과 섹션 합계 대조 필요,배분률 기반 계산 후보,"요약/계산서/합계 행 제외, 반복 헤더 구간별 파싱","한 시트 안에 요약, 시간 로그, 건당 로그, 계산서 안내, 합계가 섞여 있다. 첫 헤더만 잡는 방식은 무조건 오판.",한아름 전용 구간 파서 설계. 시간 과금과 건당 과금의 S2 반영 방식 결정,한아름\4월\2026년 4월 한아름 정산상세.xlsx,Sheet1,27,large_row_count
