batch,platform,schema_group_no,platform_total_sheets,platform_schema_group_count,schema_sheet_count,schema_file_count,schema_status,normalization_status,interpretation_label,origin_variant_signal,human_or_aux_signal,filename_human_work_hints,header_row_distribution,sheet_names,standard_상품명,standard_외부콘텐츠ID,standard_판매금액,standard_정산기준액,standard_상계금액,상품명_candidates,외부콘텐츠ID_candidates,판매금액_candidates,정산기준액_candidates,상계금액_candidates,flags,example,headers_preview
2/3,밀리의서재,1,8,2,5,5,manual_review,needs_manual_review_before_adapter,uncertain_mixed_origin_and_human_or_aux_signal,same_platform_multiple_header_or_sheet_groups,header_not_detected_or_non_detail_sheet,,none:5,list(5),,,,,,,,,,,no_header_candidate:5,밀리의서재\1월\2026년 1월 밀리의서재 정산상세.xlsx::list,
2/3,밀리의서재,2,8,2,3,3,manual_review,needs_manual_review_before_adapter,uncertain_mixed_origin_and_human_or_aux_signal,same_platform_multiple_header_or_sheet_groups,header_not_detected_or_non_detail_sheet,,none:3,list(3),,,,,,,,,,,no_header_candidate:3,밀리의서재\25년\10월\2025년 밀리의서재 10월 정산상세.xlsx::list,
2/3,부커스,1,8,1,8,8,manual_review,needs_manual_review_before_adapter,human_modified_or_aux_sheet,,"header_not_detected_or_non_detail_sheet,filename_human_work_signal",부커스\4월\2026년 4월 부커스 정산상세 - 복사본.xlsx (복사),none:8,CP 콘텐츠별 정산(8),,,,,,,,,,,no_header_candidate:8,부커스\1월\2026년 1월 부커스 정산상세.xlsx::CP 콘텐츠별 정산,
2/3,토스(구루컴퍼니),1,8,2,7,7,adapter_candidate,ok_for_adapter_design,origin_variant,same_platform_multiple_header_or_sheet_groups,,,1:7,정산_공급사_202601(1) | 정산_공급사_202510(1) | 정산_공급사_202511(1) | 정산_공급사_202512(1) | 정산_공급사_202509(1) | 정산_공급사_202602(1) | 정산_공급사_202603(1),작품명,작품번호,콘텐츠 매출금액,콘텐츠 정산금액,결제수수료,작품명(10) | 작품유형(2) | 콘텐츠 매출금액(2) | 콘텐츠 정산금액(2) | 콘텐츠 정산금액_면세(2) | 콘텐츠 정산금액_과세(2),작품번호(3),콘텐츠 매출금액(5) | 사용코인(3),콘텐츠 정산금액(8) | 콘텐츠 정산금액_면세(7) | 콘텐츠 정산금액_과세(7) | 정산 대상금액(2),결제수수료(5),,토스(구루컴퍼니)\1월\2026년 1월 토스 정산상세.xlsx::정산_공급사_202601,공급사 | 작품유형 | 작품번호 | 작품명 | 레이블 | 작가 | 사용코인 | 콘텐츠 매출금액 | 결제수수료 | 정산 대상금액 | 콘텐츠 정산금액_면세 | 콘텐츠 정산금액_과세 | 콘텐츠 정산금액
2/3,토스(구루컴퍼니),2,8,2,1,1,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,one_off_schema_or_month_specific_export",,,1:1,25년 8월 토스(1),작품명,작품번호,콘텐츠 매출금액,콘텐츠 정산금액,결제수수료,작품명(10) | 작품유형(2) | 콘텐츠 매출금액(2) | 콘텐츠 정산금액(2),작품번호(3),콘텐츠 매출금액(5) | 사용코인(3),콘텐츠 정산금액(8) | 정산 대상금액(2),결제수수료(5),,토스(구루컴퍼니)\25년\8월\25년 8월 토스 정산상세.xlsx::25년 8월 토스,공급사 | 작품유형 | 작품번호 | 작품명 | 레이블 | 작가 | 사용코인 | 콘텐츠 매출금액 | 결제수수료 | 정산 대상금액 | 콘텐츠 정산금액
2/3,모픽,1,8,4,5,5,adapter_candidate,ok_for_adapter_design,origin_variant,same_platform_multiple_header_or_sheet_groups,,,1:5,작품별정산(5),작품명,,총 매출액,정산액,,작품명(10),,총 매출액(8) | 순 매출액(4) | 매출구분(2),정산액(10) | 정산 기간(2),,,모픽\1월\2026년 1월 모픽 정산상세.xlsx::작품별정산,작품명 | 출판사 | 제공사 | 작가명 | 유형 | 정산 기간 | 매출구분 | 총 매출액 | 순 매출액 | 정산액
2/3,모픽,2,8,4,1,1,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,one_off_schema_or_month_specific_export",,,1:1,작품별정산(1),작품명,,총 매출액,정산액,,작품명(10),,총 매출액(8) | 순 매출액(4) | 매출구분(2),정산액(10) | 정산 기간(2),,,모픽\25년\10월\2025년 10월 모픽 정산상세.xlsx::작품별정산,작품명 | 작가명 | 유형 | CP | 정산 기간 | 매출구분 | 총 매출액 | 순 매출액 | 정산액
2/3,모픽,3,8,4,1,1,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,one_off_schema_or_month_specific_export",,,1:1,작품별정산(1),작품명,,총 매출액,정산액,,작품명(10),,총 매출액(8) | 순 매출액(4) | 매출구분(2),정산액(10) | 정산 기간(2),,,모픽\25년\9월\25년 9월 모픽 정산상세.xlsx::작품별정산,작품명 | 작가명 | CP | 정산 기간 | 매출구분 | 총 매출액 | 순 매출액 | 정산액
2/3,모픽,4,8,4,1,1,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,one_off_schema_or_month_specific_export",,,1:1,작품별정산(1),작품명,,총 매출액,정산액,,작품명(10),,총 매출액(8),정산액(10),,,모픽\2월\2026년 2월 모픽 정산상세.xlsx::작품별정산,작품명 | 출판사 | 총 매출액 | 정산액
2/3,무툰,1,8,2,7,7,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,merged_layout_template",,,2:7,Sheet(7),타이틀,,합계,정산총액,공제수수료,타이틀(8),,합계(3) | 사용코인(3),정산총액(11),공제수수료(12) | 취소코인(3),merged_cells:7,무툰\1월\2026년 1월 무툰 정산상세.xlsx::Sheet,NO | 구분 | 작가 | 장르 | 타이틀 | 사용코인 | 취소코인 | 합계 | 공제수수료 | 정산총액
2/3,무툰,2,8,2,1,1,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,one_off_schema_or_month_specific_export",,,1:1,Sheet(1),타이틀,,,정산금액,,타이틀(8),,,정산금액(11),,,무툰\25년\12월\2025년 12월 무툰 정산상세.xlsx::Sheet,작가 | 장르 | 타이틀 | 정산금액
2/3,문피아,1,8,1,8,8,adapter_candidate,ok_for_adapter_design,origin_variant,scale_or_used_range_variation,,,1:8,다우인큐브(8),작품,작품코드,총매출,정산,,작품(3),작품코드(9),총매출(11) | IOS매출(2) | Google매출(2),정산(3),,large_column_count:1,문피아\1월\2026년 1월 문피아 정산상세.xlsx::다우인큐브,CP | 번호 | 날짜 | 구분 | 작가 | 계정 | 작품코드 | 작품 | 구매 | 구매취소 | 대여 | 대여취소 | 총매출 | IOS매출 | Google매출 | 정산
2/3,에피루스,1,8,1,8,8,adapter_candidate,ok_for_adapter_design,stable_origin_schema,,,,1:8,2026년01월정산내역_키다리스튜디오(1) | 2025년10월정산내역_키다리스튜디오(1) | 2025년11월정산내역_키다리스튜디오(1) | 2025년12월정산내역_키다리스튜디오(1) | 2025년08월정산내역_키다리스튜디오(1) | 2025년09월정산내역_키다리스튜디오(1) | 2026년02월정산내역_키다리스튜디오(1) | 2026년03월정산내역_키다리스튜디오(1),제목,,판매금액,정산액,수수료,제목(8),,판매금액(9),정산액(10) | 정산자(2),수수료(7),,에피루스\1월\2026년 1월 에피루스 정산상세.xlsx::2026년01월정산내역_키다리스튜디오,정산자 | 판매구분 | 제목 | 저자 | 출판사 | 수량 | 판매금액 | 수수료 | 정산액
2/3,피플앤스토리,1,7,2,6,6,manual_review,needs_manual_review_before_adapter,uncertain_mixed_origin_and_human_or_aux_signal,"same_platform_multiple_header_or_sheet_groups,merged_layout_template",header_not_detected_or_non_detail_sheet,,none:6,다운로드(6),,,,,,,,,,,merged_cells:6 | no_header_candidate:6,피플앤스토리\1월\2026년 1월 피플앤스토리 정산상세.xlsx::다운로드,
2/3,피플앤스토리,2,7,2,1,1,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,merged_layout_template,one_off_schema_or_month_specific_export",,,1:1,다운로드(1),작품명,ISBN,판매금액(원),정산금액(원),,작품명(10),ISBN(7) | 관리코드(5),판매금액(원)(3),정산금액(원)(5),,merged_cells:1,피플앤스토리\25년\11월\2025년 11월 피플앤스토리 정산상세.xlsx::다운로드,ISBN | 관리코드 | 작품명 | 작가명 | CP사 | 출판사 | 판매사이트 | 단가(원) | 건수(건) | 판매금액(원) | 정산금액(원)
2/3,북팔,1,7,3,3,3,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,merged_layout_template",,,9:3,마켓(3),작품명,,매출,수익금,,작품명(10),,매출(3),수익금(2),,merged_cells:3,북팔\10월\2025년 10월 북팔 정산상세.xlsx::마켓,순번 | 필명 | 아이디 | 작품명 | 판매수 | 매출 | 배분율 | 수익금 | 비고
2/3,북팔,2,7,3,3,3,manual_review,needs_manual_review_before_adapter,uncertain_mixed_origin_and_human_or_aux_signal,same_platform_multiple_header_or_sheet_groups,"header_not_detected_or_non_detail_sheet,hidden_or_auxiliary_sheet_signal",,none:3,Sheet(3),,,,,,,,,,,hidden_sheet:3 | no_header_candidate:3,북팔\10월\2025년 10월 북팔 정산상세.xlsx::Sheet,
2/3,북팔,3,7,3,1,1,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,one_off_schema_or_month_specific_export",,,1:1,2025-11-01 ~ 2025-11-30(1),작품명,,,수익,,작품명(10),,,수익(3),,,북팔\11월\2025년 11월 북팔 정산상세.xlsx::2025-11-01 ~ 2025-11-30,날짜 | 구분 | 순서 | 아이디 | 닉네임 | 작품명 | 수익 | 카운트
2/3,원스토어,1,7,1,7,7,adapter_candidate,ok_for_adapter_design,origin_variant,"merged_layout_template,scale_or_used_range_variation",,,1:7,multimedia(7),채널상품명,채널상품ID,합계,정액제 정산대상액,앱마켓수수료,채널상품명(10) | 상품명(8),채널상품ID(9) | 상품ID(7) | 파트너ID(3),합계(3),정액제 정산대상액(4) | 정산유형(2) | 정산지급액(2) | 2차정산여부(2),앱마켓수수료(4),merged_cells:7 | large_row_count:7,원스토어\1월\2026년 1월 원스토어 정산상세.xlsx::multimedia,파트너명 | 파트너ID | 사업자구분 | 구매요청POC | 채널상품ID | 채널상품명 | 상품명 | 회차 | 상품ID | 2차정산여부 | 카테고리 | 출판사 | 글작가 | 그림작가 | 타입 | 판매건수 | 취소건수 | 정액제 정산대상액 | 판매 | 취소 | 합계 | 결제수단 | 원화환산 | 앱마켓수수료 | 서비스이용료 | 정산지급액 | 정산유형
2/3,하이북,1,7,1,7,7,adapter_candidate,ok_for_adapter_design,stable_origin_schema,,,,1:7,정산리스트(7),작품명,,판매금액,정산금액,,작품명(10),,판매금액(9) | 판매금액(구매)(3) | 판매금액(대여)(3),정산금액(11) | 정산금액(구매)(5) | 정산금액(대여)(5) | 정산주기(2) | 정산상태(2),,,하이북\1월\2026년 1월 하이북 정산상세.xlsx::정산리스트,작품명 | 작가명 | 출판사 | prodSq | 정산일 | 정산주기 | 정산상태 | 조회수(구매) | 판매금액(구매) | 정산금액(구매) | 조회수(대여) | 판매금액(대여) | 정산금액(대여) | 조회수 | 판매금액 | 정산금액
2/3,스낵북,1,6,1,6,6,adapter_candidate,ok_for_adapter_design,stable_origin_schema,,,,1:6,settle_list_202601_C262666768_2(1) | settle_list_202510_C262666768_2(1) | settle_list_202511_C262666768_2(1) | settle_list_202512_C262666768_2(1) | settle_list_202602_C262666768_2(1) | settle_list_202603_C262666768_2(1),작품명,작품ID,,정산(원),,작품명(10),작품ID(3),,정산(원)(2),,,스낵북\1월\2026년 1월 스낵북 정산상세.xlsx::settle_list_202601_C262666768_2,작품ID | 작품명 | 필자명 | 정산비율 | 판매(원) | 정산(원) | 코인타입
