platform,final_class,adapter_contract,schema_group_count,catalog_adapter_candidate_groups,catalog_manual_review_groups,final_group_actions,april_status,source_sheet_rule,exclude_rule,normalized_title_from,raw_author_from,external_work_id_from,gross_sales_amount_from,settlement_base_amount_from,offset_amount_from,amount_rule_status,final_s2_gate,primary_risk,implementation_order
교보,single_header_policy_gate,single_header_with_leading_merged_title,1,0,1,include_after_amount_policy:1,D_no_april_source,Sheet1,,상품명,저자,판매상품ID / epub isbn / pdf isbn / 종이책ISBN / 북넘버,정산대상판매가총액 또는 판매가 x 판매수량,정산액,없음 확인 필요,needs_reconcile,대표월 fixture + 판매금액 산식 확정 전 S2 출력 금지,4월 샘플 없음. 판매가/정산대상판매가총액 중 판매금액 기준 확정 필요.,2
구글,special_parser_required,google_transaction_fixed_columns,2,0,2,special_parser_only:2,C_special_adapter_required,GoogleSalesTransactionReport,,Title,Author,Id / Product / Primary ISBN,Publisher Revenue / Payment Amount 후보,법인세 차감 후 금액 또는 Publisher Revenue 후보,미국 원천징수세 / 법인세 차감액 후보,needs_policy,Google 금액 기준 확정 + 외화/세금 처리 전 S2 출력 금지,영문 transaction report라 일반 alias 치환 불가.,3
네이버,special_parser_required,two_row_merged_header_flatten,2,2,0,special_parser_only:2,C_special_adapter_required,contentsSelling_*,"복사본, 중복 통합본은 review gate",컨텐츠,작가명,컨텐츠No / 공급자코드,합계,"정산금액 있는 그룹만 직접 후보, 그 외 정책 필요",마켓수수료(추정치) / 유상 이용권 보정,needs_policy,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,병합 헤더 문맥 없이는 금액 의미가 무너짐.,3
노벨피아,single_header_policy_gate,single_header,1,1,0,include_after_amount_policy:1,A_generic_adapter_candidate,일별 정산,,상품명,작가명,작품코드,판매합계 또는 판매금액,정산금액,취소금액,needs_cancel_policy,취소금액 처리 정책 확정 후 S2 출력,판매금액/판매합계/취소금액 처리 방식 필요.,2
로망띠끄,single_header_policy_gate,single_header_row5_with_merged_banner,3,0,3,include_candidate_after_rescan:3,D_no_april_source,styleB(바로북)*,,도서명,저자,도서코드 / isbn,판매액,정산액,없음 확인 필요,candidate_confirmed_after_reconcile,대표월 fixture + 총액 reconcile 후 출력,4월 샘플 없음. 헤더 row 5 고정 여부 확인 필요.,1
리디북스,wide_header_policy_gate,wide_single_header_limited_columns,1,1,0,include_after_amount_policy:1,D_no_april_source,calculate_1 및 리디 정산상세 시트,,제목 / 시리즈명,저자,도서 ID / 시리즈 ID / 전자책ISBN10/13,판매액 + 단권/세트/대여 판매액 후보,정산액 / 앱마켓 정산대상액 후보,취소액 / 앱마켓 수수료 / 앱마켓 취소액,needs_policy,판매/취소/앱마켓 산식 확정 전 S2 출력 금지,대용량 wide schema. 취소/앱마켓 컬럼이 많아 단순 합산 위험.,2
모픽,single_header_policy_gate,single_header_variants,4,4,0,include_after_amount_policy:4,A_generic_adapter_candidate,작품별정산,,작품명,작가명,없음,총 매출액 또는 순 매출액,정산액,총 매출액-순 매출액 후보,needs_policy,총/순 매출 기준 확정 후 S2 출력,외부 ID가 없어 제목 매칭 의존.,2
무툰,single_header_amount_policy_required,merged_header_coin_table,2,2,0,include_after_amount_policy:2,B_amount_semantics_required,Sheet,,타이틀,작가,없음,합계 / 사용코인 후보,정산총액 또는 정산금액,공제수수료 / 취소코인,needs_coin_policy,코인-원화 및 취소/공제 기준 확정 전 S2 출력 금지,코인을 원화 판매금액으로 단정하면 안 됨.,2
문피아,single_header_policy_gate,single_header_limited_columns,1,1,0,include_after_amount_policy:1,A_generic_adapter_candidate,다우인큐브,,작품,작가,작품코드,총매출,정산,구매취소 / 대여취소,needs_cancel_policy,취소/IOS/Google 포함 여부 확정 후 S2 출력,IOS/Google 매출이 총매출에 포함인지 검산 필요.,2
미소설,single_header_policy_gate,single_header_variants,2,2,0,include_after_amount_policy:2,A_generic_adapter_candidate,cpexcel*,확장체크/사람가공 파일은 fixture 제외,타이틀,작가명,작품번호,전체매출(원),총지급액(원) 또는 지급액(원) ASP,결제수수료(원),needs_policy,지급액 컬럼 선택 기준 확정 후 S2 출력,수익률은 금액이 아니므로 정산기준액으로 쓰면 안 됨.,2
미스터블루,mixed_sheet_policy_gate,sheet_whitelist_workbook,2,1,1,include_after_amount_policy:1; include_for_detail_or_reconcile_only:1,D_no_april_source,"작품별 우선, 볼륨별은 검산/보조 후보",정산기준 없는 보조 시트는 출력 제외,작품명,작가명,작품코드,작품별 합계(정액+종량) / 볼륨별 소계 후보,정산기준액 후보 없음. 정책 필요,없음 확인 필요,blocked_until_settlement_basis,정산기준액 정의 전 S2 출력 금지,작품별/볼륨별 2시트 구조. 정산기준액 후보가 약함.,3
밀리의서재,single_header_policy_gate,single_header_variants,2,0,2,include_candidate_after_rescan:2,A_generic_adapter_candidate,list,,콘텐츠명,저자명,전자출판물 ISBN / 유통사 상품코드,발생 금액,정산 예정 금액 / 정산 금액,없음 확인 필요,candidate_confirmed_after_reconcile,에피소드명 집계 단위 확정 + 총액 reconcile 후 출력,콘텐츠명 중복/에피소드명 존재. 집계 키 결정 필요.,1
보인&국립장애인도서관,non_s2_source_blocked,purchase_selection_list,2,0,2,blocked_non_s2_source:2,D_no_april_source,없음,목록선정*,제목,저자명,없음,판매가 / 구매비,정산기준액 없음,없음,blocked_non_sales,S2 판매상세가 아니라 구매/목록선정 자료로 판단. 기본 출력 금지,정산상세라기보다 구매/목록선정 자료.,4
부커스,single_header_amount_policy_required,single_header_with_duplicate_file_filter,1,0,1,include_after_amount_policy:1,B_amount_semantics_required,CP 콘텐츠별 정산,- 복사본 파일 제외,콘텐츠 제목,저자명,ISBN,정가 x 열람 횟수 후보,정산 금액(원),정산율 기반 파생 후보,needs_derived_sale_policy,판매금액 파생식 확정 전 S2 출력 금지,판매금액 직접 컬럼 없음. 복사본 중복 위험.,2
북큐브,single_header_policy_gate,single_header_row2,1,0,1,include_candidate_after_rescan:1,D_no_april_source,Sheet1,,제목,저자,도서번호 / ISBN / e-ISBN(PDF) / e-ISBN(ePub) / 제휴도서번호,판매액,정산액 / 정산대상금액,할인 / 수수료,candidate_confirmed_after_reconcile,대표월 fixture + 할인/수수료 상계 기준 확정 후 출력,4월 샘플 없음. 할인/수수료 컬럼을 상계로 보낼지 정책 필요.,1
북팔,mixed_sheet_policy_gate,sheet_whitelist_plus_legacy_exclusion,3,2,1,exclude_aux_or_summary:1; include_candidate:2,D_no_april_source,"마켓, 날짜범위 시트",Sheet 안내문/전자계산서 본문 시트 제외,작품명,필명 / 닉네임,아이디 / 순서 후보,매출,수익금 / 수익,없음 확인 필요,candidate_confirmed_after_reconcile,보조 안내문 시트 제외 + 총액 reconcile 후 출력,일부 Sheet는 정산 안내문이라 데이터로 먹이면 사고.,3
블라이스,single_header_policy_gate,single_header_with_merged_cells,1,1,0,include_candidate:1,A_generic_adapter_candidate,CP정산*,,작품명,작가명,작품NO,판매액,정산금액,수수료,candidate_confirmed_after_reconcile,수수료 컬럼명 정규화 + 총액 reconcile 후 출력,긴 병합 수수료 헤더 정규화 필요.,1
스낵북,single_header_policy_gate,single_header,1,1,0,include_candidate:1,D_no_april_source,settle_list_*,,작품명,필자명,작품ID,판매(원),정산(원),없음 확인 필요,candidate_confirmed_after_reconcile,대표월 fixture + 총액 reconcile 후 출력,4월 샘플 없음. 코인타입별 분리 여부 확인 필요.,1
스토린랩,multi_adapter_policy_gate,schema_signature_subadapters,10,9,1,exclude_or_manual_summary:1; include_after_amount_policy:9,D_no_april_source,"원스, 원스(북패스), 무툰 시트",정리 시트(B2BC 집계형) 제외 또는 별도 수동,채널상품명 / 상품명 / 이용상품명 / 타이틀,글작가 / 작가,채널상품ID / 상품ID / 키다리코드 / 이용상품ID,판매금액 / 정액권 총매출액 / 판매총액 / 합계금액,정산액 / 입금액 / 상품별 정산금액,취소금액 / 차감 / 취소코인,needs_subadapter_policy,서브어댑터별 amount rule 확정 전 S2 출력 금지,10개 스키마 그룹. 집계형 정리 시트와 상세 시트 혼재.,3
신영미디어,single_header_policy_gate,single_header,1,1,0,include_candidate:1,D_no_april_source,날짜범위 시트,,제목,저자,번호,합계,소득액,없음 확인 필요,candidate_confirmed_after_reconcile,대표월 fixture + 총액 reconcile 후 출력,4월 샘플 없음.,1
알라딘,single_header_policy_gate,single_header,3,0,3,include_after_amount_policy:3,D_no_april_source,sales_*,,제목,저자명,ItemId / ISBN / CID,판매가,정산액,판매형태=취소/원주문일시 기반 취소 처리,needs_cancel_policy,판매/취소 행 처리 정책 확정 후 S2 출력,취소 행이 같은 표에 섞일 가능성.,2
알라딘 종이책,non_s2_source_blocked,ledger_not_content_sales,1,0,1,blocked_non_s2_source:1,D_no_april_source,없음,거래처별 거래원장,거래내용 후보이나 작품명 아님,없음,없음,출고금액 / 반품금액,현잔액 등 원장 금액,반품금액,blocked_non_content_ledger,전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지,거래원장형 종이책 자료라 판매채널콘텐츠ID 매칭 단위가 맞지 않음.,4
에이블리,mixed_sheet_policy_gate,single_header_plus_summary_exclusion,2,2,0,exclude_or_manual_summary:1; include_candidate:1,D_no_april_source,상세 판매일 시트,행 레이블 pivot/요약 시트는 출력 제외,작품명,작가명,작품 ID,판매 금액 합계 (원),정산 금액 합계 (원),운영 수수료 합계 (원),candidate_confirmed_after_reconcile,요약 시트 제외 + 총액 reconcile 후 출력,상세 시트와 pivot 요약형 변형 혼재.,3
에피루스,single_header_policy_gate,single_header,1,1,0,include_candidate:1,D_no_april_source,월별 정산내역 시트,,제목,저자,없음,판매금액,정산액,수수료,candidate_confirmed_after_reconcile,대표월 fixture + 수수료 상계 정책 확인 후 출력,외부 ID 없음. 제목 매칭 의존.,1
예스24,single_header_policy_gate,single_header,1,0,1,include_after_amount_policy:1,D_no_april_source,Sheet1,,도서명,저자명,bookID / ePubID / 전자책ISBN / 종이책ISBN / 세트코드,서점판매가 또는 출판사판매가,출판사정산액,서점환불가 / 환불일 기반 취소 처리,needs_policy,판매가 기준/환불 처리 정책 확정 후 출력,판매가 후보가 2개이고 환불 컬럼 존재.,2
올툰,single_header_amount_policy_required,single_header,1,1,0,include_after_amount_policy:1,D_no_april_source,시트1,,작품명,없음,없음,총 매출액(원) / 코인 사용수량,정산 대상 금액(수수료 제외),앱스토어 수수료(원) / 올웨이즈 수수료(원),needs_fee_policy,수수료 제외/순매출 기준 확정 후 S2 출력,"코인, 총매출, 순매출, 수수료가 함께 있음.",2
원스토어,wide_header_policy_gate,wide_single_header_limited_columns,1,1,0,include_after_amount_policy:1,D_no_april_source,multimedia,,채널상품명 / 상품명,글작가,채널상품ID / 상품ID / 파트너ID,판매 / 합계 / 정액제 정산대상액 후보,정산지급액,취소 / 앱마켓수수료 / 서비스이용료,needs_policy,판매/정액제/취소/수수료 산식 확정 전 S2 출력 금지,wide schema라 금액 컬럼 문맥 보존 필요.,2
윌라,single_header_with_aux_exclusion,sheet_whitelist_single_header,2,0,2,exclude_aux_or_summary:1; include_after_amount_policy:1,D_no_april_source,sheet,콘텐츠 가격 변동 이력 시트 제외,콘텐츠명,저자,코드 / 전자책ISBN,공급가 또는 정가 후보,정산 금액,없음 확인 필요,needs_policy,공급가/정가 판매금액 기준 확정 + 가격변동이력 제외 후 출력,2시트 구조. 가격 변동 이력은 정산상세 입력 아님.,2
조아라,multi_schema_amount_policy_required,schema_signature_variants,5,5,0,include_after_amount_policy:5,B_amount_semantics_required,"작품별 정산리스트*, 후원쿠폰*",,작품명,작가명,작품코드 있는 그룹만,단가 x 판매건수 / 금액 / 이용권 후보. 일부 단행본은 판매금액 불명,정산금액,없음 확인 필요,needs_derived_sale_policy,단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지,5개 스키마. 단행본/후원쿠폰/이용권 변형 존재.,3
카카오,wide_header_policy_gate,merged_header_single_table,1,1,0,include_after_amount_policy:1,D_no_april_source,정산리포트_카카오페이지_*,미발행/선투자 파일은 중복 검토,시리즈명,작가명,시리즈ID / 제품코드 / 계약UID,공급대가 또는 총합계-순매출 후보,공급가액,세액은 별도 보존. 상계 아님,needs_tax_policy,과/면세 및 공급가액/공급대가 기준 확정 전 출력 금지,"세액/공급가액/공급대가 분리, 선투자 파일 혼재.",2
큐툰,single_header_amount_policy_required,merged_header_coin_table,1,1,0,include_after_amount_policy:1,B_amount_semantics_required,Sheet,,타이틀,작가,없음,합계 / 사용코인 후보,정산총액,공제수수료 / 취소코인,needs_coin_policy,코인-원화 및 취소/공제 기준 확정 전 S2 출력 금지,무툰과 같은 코인형. 금액 의미 확정 필요.,2
토스(구루컴퍼니),single_header_policy_gate,single_header_variants,2,2,0,include_after_amount_policy:2,D_no_april_source,정산_공급사_*,,작품명,작가,작품번호,콘텐츠 매출금액,콘텐츠 정산금액 또는 면세+과세 합산,결제수수료,needs_tax_split_policy,면세/과세 합산 기준 확정 후 출력,콘텐츠 정산금액_면세/과세 분리 변형 존재.,2
판무림,special_parser_required,cover_exclusion_contextual_amount_flatten,9,1,8,exclude_aux_or_summary:8; special_parser_only:1,C_special_adapter_required,세부내역,표지 시트 제외,작품 제목 / 회차 제목,저자,시리즈 코드 / 각 권 코드,소장/대여/정액제/포인트 구간 판매금액 flatten 후 합산 후보,표지 정산비율 적용 여부 정책 필요,포인트 사용 후보,needs_contextual_amount_policy,상단 문맥+반복 판매금액 flatten 전 S2 출력 금지,판매금액 헤더 반복. 표지는 보조/요약.,3
피우리(누온),single_header_policy_gate,single_header,1,1,0,include_candidate:1,D_no_april_source,Worksheet,,제목,작가,피우리상품번호 / CP관리번호,매출액 또는 판매가 x 판매수,정산액,없음 확인 필요,candidate_confirmed_after_reconcile,대표월 fixture + 판매가/매출액 기준 확인 후 출력,4월 샘플 없음.,1
피플앤스토리,single_header_policy_gate,single_header_with_small_sample_gate,2,1,1,include_candidate:1; include_candidate_after_rescan:1,A_generic_adapter_candidate,다운로드,,작품명,작가명,ISBN / 관리코드,판매금액(원),정산금액(원),없음 확인 필요,candidate_confirmed_after_reconcile,샘플 행 적음. 다른 월 1개 추가 fixture 후 출력,4월 샘플 행 수가 적어 변형 검증력 낮음.,1
하이북,single_header_policy_gate,single_header,1,1,0,include_after_amount_policy:1,A_generic_adapter_candidate,정산리스트,,작품명,작가명,prodSq,판매금액(구매)+판매금액(대여) 또는 판매금액,정산금액(구매)+정산금액(대여) 또는 정산금액,없음 확인 필요,needs_purchase_rental_policy,구매/대여 합산 단위 확정 후 출력,구매/대여 분리 컬럼과 총합 컬럼이 함께 있음.,2
한아름,special_parser_required,multi_section_repeated_header_parser,3,0,3,special_parser_only:3,C_special_adapter_required,건당 로그/시간 로그 반복 섹션,"요약, 계산서 안내, 합계, 반복 헤더 row 제외",작품명,작가명,BOOK NO,건당 로그 금액 / 시간 로그 히트 기반 정책 필요,상단 정산금액 요약 및 배분률 대조,배분률 기반 차액 후보,needs_section_policy,구간 파서 + 시간/건당 과금 정책 확정 전 S2 출력 금지,한 시트 안에 요약/상세/계산서 안내/반복 헤더가 섞임.,3
