platform,audit_round,audit_name,verdict,attack_question,evidence,failure_mode,final_control
스토린랩,1,헤더/구조 치환 감리,caution_or_fail_generic_rename,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=10, actions=exclude_or_manual_summary:1; include_after_amount_policy:9, parser=schema_signature_subadapters",10개 스키마 그룹. 집계형 정리 시트와 상세 시트 혼재.,"adapter_contract=schema_signature_subadapters; sheet_rule=원스, 원스(북패스), 무툰 시트; exclude=정리 시트(B2BC 집계형) 제외 또는 별도 수동"
스토린랩,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=판매금액 / 정액권 총매출액 / 판매총액 / 합계금액; settle=정산액 / 입금액 / 상품별 정산금액; offset=취소금액 / 차감 / 취소코인; amount_status=needs_subadapter_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,서브어댑터별 amount rule 확정 전 S2 출력 금지
스토린랩,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=서브어댑터별 amount rule 확정 전 S2 출력 금지,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
신영미디어,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_candidate:1, parser=single_header",4월 샘플 없음.,adapter_contract=single_header; sheet_rule=날짜범위 시트; exclude=-
신영미디어,2,금액 의미 감리,candidate_after_reconcile,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=합계; settle=소득액; offset=없음 확인 필요; amount_status=candidate_confirmed_after_reconcile,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,대표월 fixture + 총액 reconcile 후 출력
신영미디어,3,실행 안전 감리,allowed_only_after_reconcile_and_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=대표월 fixture + 총액 reconcile 후 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
알라딘,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=3, actions=include_after_amount_policy:3, parser=single_header",취소 행이 같은 표에 섞일 가능성.,adapter_contract=single_header; sheet_rule=sales_*; exclude=-
알라딘,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=판매가; settle=정산액; offset=판매형태=취소/원주문일시 기반 취소 처리; amount_status=needs_cancel_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,판매/취소 행 처리 정책 확정 후 S2 출력
알라딘,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=판매/취소 행 처리 정책 확정 후 S2 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
알라딘 종이책,1,헤더/구조 치환 감리,blocked_structure_or_source_type,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=blocked_non_s2_source:1, parser=ledger_not_content_sales",거래원장형 종이책 자료라 판매채널콘텐츠ID 매칭 단위가 맞지 않음.,adapter_contract=ledger_not_content_sales; sheet_rule=없음; exclude=거래처별 거래원장
알라딘 종이책,2,금액 의미 감리,blocked,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=출고금액 / 반품금액; settle=현잔액 등 원장 금액; offset=반품금액; amount_status=blocked_non_content_ledger,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지
알라딘 종이책,3,실행 안전 감리,s2_output_forbidden,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
에이블리,1,헤더/구조 치환 감리,caution_or_fail_generic_rename,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=2, actions=exclude_or_manual_summary:1; include_candidate:1, parser=single_header_plus_summary_exclusion",상세 시트와 pivot 요약형 변형 혼재.,adapter_contract=single_header_plus_summary_exclusion; sheet_rule=상세 판매일 시트; exclude=행 레이블 pivot/요약 시트는 출력 제외
에이블리,2,금액 의미 감리,candidate_after_reconcile,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=판매 금액 합계 (원); settle=정산 금액 합계 (원); offset=운영 수수료 합계 (원); amount_status=candidate_confirmed_after_reconcile,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,요약 시트 제외 + 총액 reconcile 후 출력
에이블리,3,실행 안전 감리,allowed_only_after_reconcile_and_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=요약 시트 제외 + 총액 reconcile 후 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
에피루스,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_candidate:1, parser=single_header",외부 ID 없음. 제목 매칭 의존.,adapter_contract=single_header; sheet_rule=월별 정산내역 시트; exclude=-
에피루스,2,금액 의미 감리,candidate_after_reconcile,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=판매금액; settle=정산액; offset=수수료; amount_status=candidate_confirmed_after_reconcile,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,대표월 fixture + 수수료 상계 정책 확인 후 출력
에피루스,3,실행 안전 감리,allowed_only_after_reconcile_and_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=대표월 fixture + 수수료 상계 정책 확인 후 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
예스24,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_after_amount_policy:1, parser=single_header",판매가 후보가 2개이고 환불 컬럼 존재.,adapter_contract=single_header; sheet_rule=Sheet1; exclude=-
예스24,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=서점판매가 또는 출판사판매가; settle=출판사정산액; offset=서점환불가 / 환불일 기반 취소 처리; amount_status=needs_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,판매가 기준/환불 처리 정책 확정 후 출력
예스24,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=판매가 기준/환불 처리 정책 확정 후 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
올툰,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_after_amount_policy:1, parser=single_header","코인, 총매출, 순매출, 수수료가 함께 있음.",adapter_contract=single_header; sheet_rule=시트1; exclude=-
올툰,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=총 매출액(원) / 코인 사용수량; settle=정산 대상 금액(수수료 제외); offset=앱스토어 수수료(원) / 올웨이즈 수수료(원); amount_status=needs_fee_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,수수료 제외/순매출 기준 확정 후 S2 출력
올툰,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=수수료 제외/순매출 기준 확정 후 S2 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
원스토어,1,헤더/구조 치환 감리,caution_or_fail_generic_rename,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_after_amount_policy:1, parser=wide_single_header_limited_columns",wide schema라 금액 컬럼 문맥 보존 필요.,adapter_contract=wide_single_header_limited_columns; sheet_rule=multimedia; exclude=-
원스토어,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=판매 / 합계 / 정액제 정산대상액 후보; settle=정산지급액; offset=취소 / 앱마켓수수료 / 서비스이용료; amount_status=needs_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,판매/정액제/취소/수수료 산식 확정 전 S2 출력 금지
원스토어,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=판매/정액제/취소/수수료 산식 확정 전 S2 출력 금지,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
윌라,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=2, actions=exclude_aux_or_summary:1; include_after_amount_policy:1, parser=sheet_whitelist_single_header",2시트 구조. 가격 변동 이력은 정산상세 입력 아님.,adapter_contract=sheet_whitelist_single_header; sheet_rule=sheet; exclude=콘텐츠 가격 변동 이력 시트 제외
윌라,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=공급가 또는 정가 후보; settle=정산 금액; offset=없음 확인 필요; amount_status=needs_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,공급가/정가 판매금액 기준 확정 + 가격변동이력 제외 후 출력
윌라,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=공급가/정가 판매금액 기준 확정 + 가격변동이력 제외 후 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
조아라,1,헤더/구조 치환 감리,caution_or_fail_generic_rename,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=5, actions=include_after_amount_policy:5, parser=schema_signature_variants",5개 스키마. 단행본/후원쿠폰/이용권 변형 존재.,"adapter_contract=schema_signature_variants; sheet_rule=작품별 정산리스트*, 후원쿠폰*; exclude=-"
조아라,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=단가 x 판매건수 / 금액 / 이용권 후보. 일부 단행본은 판매금액 불명; settle=정산금액; offset=없음 확인 필요; amount_status=needs_derived_sale_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지
조아라,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
카카오,1,헤더/구조 치환 감리,caution_or_fail_generic_rename,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_after_amount_policy:1, parser=merged_header_single_table","세액/공급가액/공급대가 분리, 선투자 파일 혼재.",adapter_contract=merged_header_single_table; sheet_rule=정산리포트_카카오페이지_*; exclude=미발행/선투자 파일은 중복 검토
카카오,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=공급대가 또는 총합계-순매출 후보; settle=공급가액; offset=세액은 별도 보존. 상계 아님; amount_status=needs_tax_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,과/면세 및 공급가액/공급대가 기준 확정 전 출력 금지
카카오,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=과/면세 및 공급가액/공급대가 기준 확정 전 출력 금지,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
큐툰,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_after_amount_policy:1, parser=merged_header_coin_table",무툰과 같은 코인형. 금액 의미 확정 필요.,adapter_contract=merged_header_coin_table; sheet_rule=Sheet; exclude=-
큐툰,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=합계 / 사용코인 후보; settle=정산총액; offset=공제수수료 / 취소코인; amount_status=needs_coin_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,코인-원화 및 취소/공제 기준 확정 전 S2 출력 금지
큐툰,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=코인-원화 및 취소/공제 기준 확정 전 S2 출력 금지,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
토스(구루컴퍼니),1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=2, actions=include_after_amount_policy:2, parser=single_header_variants",콘텐츠 정산금액_면세/과세 분리 변형 존재.,adapter_contract=single_header_variants; sheet_rule=정산_공급사_*; exclude=-
토스(구루컴퍼니),2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=콘텐츠 매출금액; settle=콘텐츠 정산금액 또는 면세+과세 합산; offset=결제수수료; amount_status=needs_tax_split_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,면세/과세 합산 기준 확정 후 출력
토스(구루컴퍼니),3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=면세/과세 합산 기준 확정 후 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
판무림,1,헤더/구조 치환 감리,caution_or_fail_generic_rename,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=9, actions=exclude_aux_or_summary:8; special_parser_only:1, parser=cover_exclusion_contextual_amount_flatten",판매금액 헤더 반복. 표지는 보조/요약.,adapter_contract=cover_exclusion_contextual_amount_flatten; sheet_rule=세부내역; exclude=표지 시트 제외
판무림,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=소장/대여/정액제/포인트 구간 판매금액 flatten 후 합산 후보; settle=표지 정산비율 적용 여부 정책 필요; offset=포인트 사용 후보; amount_status=needs_contextual_amount_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,상단 문맥+반복 판매금액 flatten 전 S2 출력 금지
판무림,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=상단 문맥+반복 판매금액 flatten 전 S2 출력 금지,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
피우리(누온),1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_candidate:1, parser=single_header",4월 샘플 없음.,adapter_contract=single_header; sheet_rule=Worksheet; exclude=-
피우리(누온),2,금액 의미 감리,candidate_after_reconcile,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=매출액 또는 판매가 x 판매수; settle=정산액; offset=없음 확인 필요; amount_status=candidate_confirmed_after_reconcile,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,대표월 fixture + 판매가/매출액 기준 확인 후 출력
피우리(누온),3,실행 안전 감리,allowed_only_after_reconcile_and_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=대표월 fixture + 판매가/매출액 기준 확인 후 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
피플앤스토리,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=2, actions=include_candidate:1; include_candidate_after_rescan:1, parser=single_header_with_small_sample_gate",4월 샘플 행 수가 적어 변형 검증력 낮음.,adapter_contract=single_header_with_small_sample_gate; sheet_rule=다운로드; exclude=-
피플앤스토리,2,금액 의미 감리,candidate_after_reconcile,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=판매금액(원); settle=정산금액(원); offset=없음 확인 필요; amount_status=candidate_confirmed_after_reconcile,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,샘플 행 적음. 다른 월 1개 추가 fixture 후 출력
피플앤스토리,3,실행 안전 감리,allowed_only_after_reconcile_and_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=샘플 행 적음. 다른 월 1개 추가 fixture 후 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
하이북,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_after_amount_policy:1, parser=single_header",구매/대여 분리 컬럼과 총합 컬럼이 함께 있음.,adapter_contract=single_header; sheet_rule=정산리스트; exclude=-
하이북,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=판매금액(구매)+판매금액(대여) 또는 판매금액; settle=정산금액(구매)+정산금액(대여) 또는 정산금액; offset=없음 확인 필요; amount_status=needs_purchase_rental_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,구매/대여 합산 단위 확정 후 출력
하이북,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=구매/대여 합산 단위 확정 후 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
한아름,1,헤더/구조 치환 감리,caution_or_fail_generic_rename,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=3, actions=special_parser_only:3, parser=multi_section_repeated_header_parser",한 시트 안에 요약/상세/계산서 안내/반복 헤더가 섞임.,"adapter_contract=multi_section_repeated_header_parser; sheet_rule=건당 로그/시간 로그 반복 섹션; exclude=요약, 계산서 안내, 합계, 반복 헤더 row 제외"
한아름,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=건당 로그 금액 / 시간 로그 히트 기반 정책 필요; settle=상단 정산금액 요약 및 배분률 대조; offset=배분률 기반 차액 후보; amount_status=needs_section_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,구간 파서 + 시간/건당 과금 정책 확정 전 S2 출력 금지
한아름,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=구간 파서 + 시간/건당 과금 정책 확정 전 S2 출력 금지,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
