source,판단유형,우선순위,판매채널,정제키,행수,원문예시,대표근거,필요한판단
같은채널_fuzzy,같은채널 fuzzy 작품동일성 판단,1,네이버_장르,던전에서성자가하는일,1,던전에서 성자가 하는 일 [단행본],0.9091::던전에서 성자性者가 하는 일::112529,"같은 채널에 유사 제목 지급정산이 있으나 자동 alias로 태우기엔 위험. 동일작이면 exact alias 후보, 아니면 보류"
기존_근접후보,작품 동일성 판단,2,카카오페이지(선투자),독식하는재벌세,10,독식하는 재벌 3세 | 독식하는 재벌 3세 [단행본],교보문고(소설) / 1980 독식하는 재벌! / 0.9231,정산서의 `독식하는 재벌 3세`와 S2 후보 `1980 독식하는 재벌!`가 같은 작품인지 확인 필요
기존_근접후보,작품 동일성 판단,2,카카오페이지(소설),백치공주시리즈,3,백치 공주 시리즈,봄툰KR(1068149784) / 백치공주 / 1.0,정산서 `백치 공주 시리즈`와 S2 `백치공주`가 같은 지급정산 대상인지 확인 필요
기존_근접후보,작품 동일성 판단,2,네이버_장르,독식하는재벌세,1,독식하는 재벌 3세 [단행본],교보문고(소설) / 1980 독식하는 재벌! / 0.9231,정산서의 `독식하는 재벌 3세`와 S2 후보 `1980 독식하는 재벌!`가 같은 작품인지 확인 필요
기존_근접후보,채널 보강 판단,3,원스토어(소설),고인물무림에가다,10,"고인물, 무림에 가다",네이버_연재 / 고인물 무림에 가다_갈드_창작지원금 / 0.91,다른 채널에는 동일 계열 S2 후보가 있으나 해당 판매채널에는 없음
기존_근접후보,채널 보강 판단,3,구글(소설),고인물무림에가다,9,"고인물, 무림에 가다 1권 | [10%할인] 고인물, 무림에 가다 1권",네이버_연재 / 고인물 무림에 가다_갈드_창작지원금 / 0.91,다른 채널에는 동일 계열 S2 후보가 있으나 해당 판매채널에는 없음
기존_근접후보,채널 보강 판단,3,원스토어(소설),아포칼립스인데나혼자농사,3,아포칼립스인데 나 혼자 농사,Yes24(서점) / 0_아포칼립스인데나혼자농사_이루이_일반 / 0.91,다른 채널에는 동일 계열 S2 후보가 있으나 해당 판매채널에는 없음
기존_근접후보,채널 보강 판단,3,카카오페이지(소설),아포칼립스인데나혼자농사,2,아포칼립스인데 나 혼자 농사,Yes24(서점) / 0_아포칼립스인데나혼자농사_이루이_일반 / 0.91,다른 채널에는 동일 계열 S2 후보가 있으나 해당 판매채널에는 없음
기존_근접후보,채널 보강 판단,3,구글(소설),야한연극의ts주인공이되었다,1,야한 연극의 TS 주인공이 되었다 1권,Yes24(서점) / 0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반 / 0.91,다른 채널에는 동일 계열 S2 후보가 있으나 해당 판매채널에는 없음
기존_근접후보,채널 보강 판단,3,네이버_연재,아포칼립스인데나혼자농사,1,아포칼립스인데 나 혼자 농사 [독점],Yes24(서점) / 0_아포칼립스인데나혼자농사_이루이_일반 / 0.91,다른 채널에는 동일 계열 S2 후보가 있으나 해당 판매채널에는 없음
기존_근접후보,채널 보강 판단,3,네이버_장르,야한규칙으로다따먹음,1,야한 규칙으로 다 따먹음 [단행본],Yes24(서점) / 0_야한규칙으로 다 따먹음_파워레인젖_일반 / 0.91,다른 채널에는 동일 계열 S2 후보가 있으나 해당 판매채널에는 없음
기존_근접후보,채널 보강 판단,3,리디북스(소설),고인물무림에가다,1,"고인물, 무림에 가다 1화",네이버_연재 / 고인물 무림에 가다_갈드_창작지원금 / 0.91,다른 채널에는 동일 계열 S2 후보가 있으나 해당 판매채널에는 없음
기존_근접후보,채널 보강 판단,3,조아라(소설),아포칼립스인데나혼자농사,1,아포칼립스인데 나 혼자 농사,Yes24(서점) / 0_아포칼립스인데나혼자농사_이루이_일반 / 0.91,다른 채널에는 동일 계열 S2 후보가 있으나 해당 판매채널에는 없음
기존_근접후보,채널 보강 판단,3,조아라(소설),야한연극의ts주인공이되었다,1,야한 연극의 TS 주인공이 되었다 (단행본),Yes24(서점) / 0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반 / 0.91,다른 채널에는 동일 계열 S2 후보가 있으나 해당 판매채널에는 없음
타채널_exact,타채널 exact 지급정산 보강 판단,4,한아름(P000003716),핵무기도만들어드릴까요,351,[연재]핵무기도 만들어 드릴까요? | 핵무기도 만들어 드릴까요?,문피아::핵무기도 만들어 드릴까요?::110907 || 카카오페이지(선투자)::핵무기도 만들어 드릴까요?::110907,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,원스토어(소설),코인게이트를열었다,212,코인 게이트를 열었다,윌라(전자책)::코인게이트를열었다::247429 || 교보문고(소설)::코인게이트를열었다::247429 || 미소설::코인게이트를열었다::247429 || 미스터블루(소설)::코인게이트를열었다::247429 || 판무림::코인게이트를열었다::247429,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,리디북스(소설),나홀로마법사,200,나 홀로 마법사 27화 | 나 홀로 마법사 28화 | 나 홀로 마법사 29화 | 나 홀로 마법사 30화 | 나 홀로 마법사 31화 | 나 홀로 마법사 32화,카카오페이지(선투자)::나 홀로 마법사::111915 || 알라딘(소설)(1068659313)::나 홀로 마법사::111915,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,판무림,업어키운사매들,135,업어 키운 사매들,에피루스 이북클럽(B2C)::업어 키운 사매들::322005 || 카카오페이지(창작지원금)::업어 키운 사매들::322005 || 리디북스(소설)::업어 키운 사매들::322005 || 원스토어(소설)::업어 키운 사매들::322005 || 무툰(소설 서비스)::업어 키운 사매들::322005,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,리디북스(소설),핵무기도만들어드릴까요,133,[e북]핵무기도 만들어 드릴까요? 7권 | [e북]핵무기도 만들어 드릴까요? 8권 | [e북]핵무기도 만들어 드릴까요? 9권 | [e북]핵무기도 만들어 드릴까요? 10권 | [e북]핵무기도 만들어 드릴까요? 11권 | [e북]핵무기도 만들어 드릴까요? 12권,문피아::핵무기도 만들어 드릴까요?::110907 || 카카오페이지(선투자)::핵무기도 만들어 드릴까요?::110907,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,구글(소설),코드네임사신,129,[10%할인] 코드네임 사신 10권 | [10%할인] 코드네임 사신 11권 | 코드네임 사신 1권 | [10%할인] 코드네임 사신 12권 | 코드네임 사신 2권 | [10%할인] 코드네임 사신 13권,카카오페이지(소설)::코드네임 사신::160310 || Yes24(서점)::코드네임 사신::160310 || 모픽(mofic)::코드네임 사신::160310 || 미스터블루(소설)::코드네임 사신::160310 || 스낵북(알에스)::코드네임 사신::160310,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,구글(소설),타락의검은실,122,타락의 검은실 2부 1권 | 타락의 검은실 1부 1권,밀리의 서재::타락의 검은 실::107843 || 웹소설 하이북::타락의 검은실 1부/2부::108050 || Yes24(서점)::타락의 검은실 1부/2부::108050 || 블라이스_인앱결제::타락의 검은 실::107843 || 블라이스 셀렉트::타락의 검은 실::107843,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,리디북스(소설),코드네임사신,113,코드네임 사신 38화 | 코드네임 사신 39화 | 코드네임 사신 40화 | 코드네임 사신 41화 | 코드네임 사신 42화 | 코드네임 사신 43화,카카오페이지(소설)::코드네임 사신::160310 || Yes24(서점)::코드네임 사신::160310 || 모픽(mofic)::코드네임 사신::160310 || 미스터블루(소설)::코드네임 사신::160310 || 스낵북(알에스)::코드네임 사신::160310,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,리디북스(소설),아포칼립스의유일한플레이어,89,[e북]아포칼립스의 유일한 플레이어 4권 | [e북]아포칼립스의 유일한 플레이어 2권 | [e북]아포칼립스의 유일한 플레이어 3권 | [e북]아포칼립스의 유일한 플레이어 5권 (완결) | 아포칼립스의 유일한 플레이어 26화 | 아포칼립스의 유일한 플레이어 27화,카카오페이지(소설)::아포칼립스의 유일한 플레이어::308483,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,원스토어(소설),재벌집망나니대독자,42,재벌집 망나니 7대독자,카카오페이지(창작지원금)::재벌집 망나니 7대 독자::322006 || 리디북스(소설)::재벌집 망나니 7대 독자::322006 || 문피아::재벌집 망나니 7대 독자::322006 || 북큐브(소설)::재벌집 망나니 7대 독자::322006 || 카카오페이지(소설)::재벌집 망나니 7대 독자::322006,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,구글(소설),코인게이트를열었다,33,코인 게이트를 열었다 1권 | [10%할인] 코인 게이트를 열었다 1권 | 코인 게이트를 열었다 4권 | 코인 게이트를 열었다 5권 | 코인 게이트를 열었다 6권 | 코인 게이트를 열었다 7권,윌라(전자책)::코인게이트를열었다::247429 || 교보문고(소설)::코인게이트를열었다::247429 || 미소설::코인게이트를열었다::247429 || 미스터블루(소설)::코인게이트를열었다::247429 || 판무림::코인게이트를열었다::247429,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,북큐브(소설),코드네임사신,32,코드네임 사신 10 | 코드네임 사신 11 | 코드네임 사신 12 | 코드네임 사신 13 | 코드네임 사신 14 | 코드네임 사신 15,카카오페이지(소설)::코드네임 사신::160310 || Yes24(서점)::코드네임 사신::160310 || 모픽(mofic)::코드네임 사신::160310 || 미스터블루(소설)::코드네임 사신::160310 || 스낵북(알에스)::코드네임 사신::160310,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,구글(소설),전직랭커는템빨로레벨업,21,전직 랭커는 템빨로 레벨 업! 1권 | 전직 랭커는 템빨로 레벨 업! 2권 | 전직 랭커는 템빨로 레벨 업! 3권 | 전직 랭커는 템빨로 레벨 업! 4권 | 전직 랭커는 템빨로 레벨 업! 5권,모픽(mofic)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 카카오페이지(선투자)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 토스(소설)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 리디북스(이벤트)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 카카오페이지(창작지원금)::(카카오)전직 랭커는 템빨로 레벨 업!::317605,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,Yes24(서점),핵무기도만들어드릴까요,20,핵무기도 만들어 드릴까요? 01권 | 핵무기도 만들어 드릴까요? (외전) | 핵무기도 만들어 드릴까요? 02권 | 핵무기도 만들어 드릴까요? 03권 | 핵무기도 만들어 드릴까요? 04권 | 핵무기도 만들어 드릴까요? 05권,문피아::핵무기도 만들어 드릴까요?::110907 || 카카오페이지(선투자)::핵무기도 만들어 드릴까요?::110907,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,원스토어(소설),마왕이나노머신을숨김,20,마왕이 나노머신을 숨김,모픽(mofic)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 미스터블루(소설)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 카카오페이지(선투자)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 리디북스(이벤트)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 카카오페이지(창작지원금)::[카카오]마왕이 나노머신을 숨김 단행본::317038,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,윌라(전자책),아빠의게임,20,아빠의 게임 1 | 아빠의 게임 10 | 아빠의 게임 11 | 아빠의 게임 12 | 아빠의 게임 13 | 아빠의 게임 14,카카오페이지(소설)::아빠의 게임::110470 || 윌라(오디오북)::아빠의 게임::110470,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,구글(소설),마왕이나노머신을숨김,19,마왕이 나노머신을 숨김 1권 | 마왕이 나노머신을 숨김 2권 | 마왕이 나노머신을 숨김 3권 | 마왕이 나노머신을 숨김 4권 | 마왕이 나노머신을 숨김 5권 | 마왕이 나노머신을 숨김 6권,모픽(mofic)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 미스터블루(소설)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 카카오페이지(선투자)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 리디북스(이벤트)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 카카오페이지(창작지원금)::[카카오]마왕이 나노머신을 숨김 단행본::317038,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,알라딘(소설)(1068659313),각성자위탁관리인,17,각성자 위탁관리인 01 | 각성자 위탁관리인 03 | 각성자 위탁관리인 02 | 각성자 위탁관리인 08 | 각성자 위탁관리인 05 | 각성자 위탁관리인 04,밀리의 서재::각성자 위탁관리인::107779 || 네이버_장르::각성자 위탁관리인::107779 || 윌라(전자책)::각성자 위탁관리인::107779 || 구글(소설)::각성자 위탁관리인::107779 || 리디북스(소설)::각성자 위탁관리인::107779,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,원스토어(소설),나홀로마법사,16,나 홀로 마법사,카카오페이지(선투자)::나 홀로 마법사::111915 || 알라딘(소설)(1068659313)::나 홀로 마법사::111915,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,원스토어(소설),전직랭커는템빨로레벨업,16,전직 랭커는 템빨로 레벨 업!,모픽(mofic)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 카카오페이지(선투자)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 토스(소설)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 리디북스(이벤트)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 카카오페이지(창작지원금)::(카카오)전직 랭커는 템빨로 레벨 업!::317605,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,구글(소설),하렘으로세계정복,15,하렘으로 세계정복 1권,밀리의 서재::하렘으로 세계정복::107848 || 블라이스 셀렉트::하렘으로 세계정복::107848 || 윌라(전자책)::하렘으로 세계정복::107848 || 스낵북(알에스)::하렘으로 세계정복::107848 || 한아름(P000003716)::하렘으로 세계정복::107848,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,한아름(P000003716),재벌집망나니대독자,14,[연재] 재벌집 망나니 7대독자,카카오페이지(창작지원금)::재벌집 망나니 7대 독자::322006 || 리디북스(소설)::재벌집 망나니 7대 독자::322006 || 문피아::재벌집 망나니 7대 독자::322006 || 북큐브(소설)::재벌집 망나니 7대 독자::322006 || 카카오페이지(소설)::재벌집 망나니 7대 독자::322006,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,구글(소설),무능귀족여체하렘,13,무능 귀족 여체 하렘 1권,Yes24(서점)::무능 귀족 여체 하렘::107804 || 알라딘(소설)(1068659313)::무능 귀족 여체 하렘::107804 || 윌라(전자책)::무능 귀족 여체 하렘::107804 || 블라이스_일반결제::무능 귀족 여체 하렘::107804 || 웹소설 하이북::무능 귀족 여체 하렘::107804,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,에이블리(소설),나홀로마법사,13,나 홀로 마법사,카카오페이지(선투자)::나 홀로 마법사::111915 || 알라딘(소설)(1068659313)::나 홀로 마법사::111915,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,에이블리(소설),핵무기도만들어드릴까요,13,핵무기도 만들어 드릴까요?,문피아::핵무기도 만들어 드릴까요?::110907 || 카카오페이지(선투자)::핵무기도 만들어 드릴까요?::110907,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,교보문고(소설),두목무적,12,두목무적 2권 | 두목무적 3권 | 두목무적 4권 | 두목무적 5권 | 두목무적 6권 | 두목무적 7권,구글(소설)::두목무적::320887 || 알라딘(소설)(1068659313)::두목무적::320887 || 조아라(소설)::두목무적::320887 || Yes24(서점)::두목무적::320887 || 판무림::두목무적::320887,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,구글(소설),슈퍼스타누구도막을수없어,12,"슈퍼스타, 누구도 막을 수 없어 !!!!!! 1권 | [10%할인] 슈퍼스타, 누구도 막을 수 없어 !!!!!! 2권 | [10%할인] 슈퍼스타, 누구도 막을 수 없어 !!!!!! 3권 | [10%할인] 슈퍼스타, 누구도 막을 수 없어 !!!!!! 4권 | 슈퍼스타, 누구도 막을 수 없어 !!!!!! 2권 | 슈퍼스타, 누구도 막을 수 없어 !!!!!! 3권","카카오페이지(소설)::슈퍼스타, 누구도 막을 수 없어!!!!!!::110469 || 윌라(오디오북)::슈퍼스타, 누구도 막을 수 없어!!!!!!::110469",동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,리디북스(소설),sss급괴물사냥꾼,12,SSS급 괴물 사냥꾼 1화 | SSS급 괴물 사냥꾼 2화 | SSS급 괴물 사냥꾼 3화 | SSS급 괴물 사냥꾼 4화 | SSS급 괴물 사냥꾼 5화 | SSS급 괴물 사냥꾼 6화,카카오페이지(선투자)::SSS급 괴물 사냥꾼::110995 || 카카오페이지(창작지원금)::SSS급 괴물 사냥꾼::110995,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,리디북스(소설),마왕군전입을명받았습니다,12,[e북]마왕군 전입을 명 받았습니다 2권 | [e북]마왕군 전입을 명 받았습니다 3권 | [e북]마왕군 전입을 명 받았습니다 4권 | [e북]마왕군 전입을 명 받았습니다 5권 | [e북]마왕군 전입을 명 받았습니다 6권 | [e북]마왕군 전입을 명 받았습니다 7권,카카오페이지(소설)::마왕군 전입을 명 받았습니다::110466 || 윌라(오디오북)::마왕군 전입을 명 받았습니다::110466,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,밀리의 서재,용사노릇이지겨워서마왕군에들어갔더니하루하루가행복해서인생절반손해봤다,12,용사 노릇이 지겨워서 마왕군에 들어갔더니 하루하루가 행복해서 인생 절반 손해봤다,Yes24(서점)::용사 노릇이 지겨워서 마왕군에 들어갔더니 하루하루가 행복해서 인생 절반 손해봤다::110078 || 알라딘(소설)(1068659313)::용사 노릇이 지겨워서 마왕군에 들어갔더니 하루하루가 행복해서 인생 절반 손해봤다::110078 || 스낵북(알에스)::용사 노릇이 지겨워서 마왕군에 들어갔더니 하루하루가 행복해서 인생 절반 손해봤다::110078 || 네이버_연재::용사 노릇이 지겨워서 마왕군에 들어갔더니 하루하루가 행복해서 인생 절반 손해봤다::110078 || 판무림::용사 노릇이 지겨워서 마왕군에 들어갔더니 하루하루가 행복해서 인생 절반 손해봤다::110078,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,원스토어(소설),코드네임사신,12,코드네임 사신,카카오페이지(소설)::코드네임 사신::160310 || Yes24(서점)::코드네임 사신::160310 || 모픽(mofic)::코드네임 사신::160310 || 미스터블루(소설)::코드네임 사신::160310 || 스낵북(알에스)::코드네임 사신::160310,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,밀리의 서재,슈퍼스타누구도막을수없어,10,"슈퍼스타, 누구도 막을 수 없어!!!!!!","카카오페이지(소설)::슈퍼스타, 누구도 막을 수 없어!!!!!!::110469 || 윌라(오디오북)::슈퍼스타, 누구도 막을 수 없어!!!!!!::110469",동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,원스토어(소설),슈퍼스타누구도막을수없어,10,"슈퍼스타, 누구도 막을 수 없어!!!!!!","카카오페이지(소설)::슈퍼스타, 누구도 막을 수 없어!!!!!!::110469 || 윌라(오디오북)::슈퍼스타, 누구도 막을 수 없어!!!!!!::110469",동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,판무림,신체가강화됨,10,신체가 강화됨,Yes24(서점)::신체가 강화됨::107764 || 네이버_연재::신체가 강화됨::107764 || 윌라(전자책)::신체가 강화됨::107764 || 윌라(오디오북)::신체가 강화됨::107764 || 밀리의 서재::신체가 강화됨::107764,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,노벨피아 (소설),마왕군전입을명받았습니다,9,마왕군 전입을 명 받았습니다,카카오페이지(소설)::마왕군 전입을 명 받았습니다::110466 || 윌라(오디오북)::마왕군 전입을 명 받았습니다::110466,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,부커스,핵무기도만들어드릴까요,9,핵무기도 만들어 드릴까요? 1권 | 핵무기도 만들어 드릴까요? 17권 | 핵무기도 만들어 드릴까요? 3권 | 핵무기도 만들어 드릴까요? 6권 | 핵무기도 만들어 드릴까요? 2권 | 핵무기도 만들어 드릴까요? 5권,문피아::핵무기도 만들어 드릴까요?::110907 || 카카오페이지(선투자)::핵무기도 만들어 드릴까요?::110907,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,판무림,골때리는엄마들,9,골 때리는 엄마들,리디북스(이벤트)::골 때리는 엄마들::109322 || 네이버_장르(광고수익)::골 때리는 엄마들::109322 || 알라딘(소설)(1068659313)::골 때리는 엄마들::109322 || 블라이스 셀렉트::골 때리는 엄마들::109322 || 리디북스(소설)::골 때리는 엄마들::109322,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,교보문고(소설),아이돌매니저가변태사진사임,8,아이돌 매니저가 변태 사진사임 2권 | 아이돌 매니저가 변태 사진사임 3권 | 아이돌 매니저가 변태 사진사임 4권 | 아이돌 매니저가 변태 사진사임 5권 | 아이돌 매니저가 변태 사진사임 6권 | 아이돌 매니저가 변태 사진사임 7권,밀리의 서재::아이돌 매니저가 변태 사진사임::247090 || 한아름(P000003716)::아이돌 매니저가 변태 사진사임::247090 || 구글(소설)::아이돌 매니저가 변태 사진사임::247090 || 미스터블루(소설)::아이돌 매니저가 변태 사진사임::247090 || 네이버_장르::아이돌 매니저가 변태 사진사임::247090,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,구글(소설),ts에로게임탈출기,8,TS 에로 게임 탈출기 1권,밀리의 서재::TS 에로 게임 탈출기::107778 || 스낵북(알에스)::TS 에로 게임 탈출기::107778 || 블라이스_일반결제::TS 에로 게임 탈출기::107778 || 북큐브(소설)::TS 에로 게임 탈출기::107778 || 미소설::TS 에로 게임 탈출기::107778,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널_exact,타채널 exact 지급정산 보강 판단,4,부커스,sss급괴물사냥꾼,8,SSS급 괴물 사냥꾼 2권 | SSS급 괴물 사냥꾼 1권 | SSS급 괴물 사냥꾼 8권 | SSS급 괴물 사냥꾼 6권 | SSS급 괴물 사냥꾼 5권 | SSS급 괴물 사냥꾼 4권,카카오페이지(선투자)::SSS급 괴물 사냥꾼::110995 || 카카오페이지(창작지원금)::SSS급 괴물 사냥꾼::110995,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
