묶음ID,순번,판정초안,판매채널,현재정제키,행수,원문예시,파일수,파일예시,버킷,S2존재채널,S2제목예시,수동판정,담당/메모,최종감리판정,감리상세,원버킷,best_any_score,any_channel_candidates,best_same_score,same_channel_candidates
NOS2_01,31,S2 전체 키 없음: 로직/데이터 2차 확인,원스토어(소설),고인물무림에가다,10,"고인물, 무림에 가다",1,2026-02__원스토어(소설)__SSOT.xlsx,no_s2_key_any_channel,,,,,다른채널 근접후보만 있음,E_any_channel_review_but_not_same,NOS2,0.91,0.91::네이버_연재::고인물 무림에 가다_갈드_창작지원금::901052 || 0.91::네이버_장르::고인물 무림에 가다_갈드_창작지원금::901059 || 0.91::무툰(소설 서비스)::고인물 무림에 가다_갈드_창작지원금::901082 || 0.91::조아라(소설)::고인물 무림에 가다_갈드_창작지원금::901680 || 0.91::카카오페이지(선투자)::고인물 무림에 가다_갈드_창작지원금::901947,0.0,
NOS2_01,33,S2 전체 키 없음: 로직/데이터 2차 확인,카카오페이지(선투자),독식하는재벌세,10,독식하는 재벌 3세 | 독식하는 재벌 3세 [단행본],1,2026-02__카카오페이지(선투자)__SSOT.xlsx,no_s2_key_any_channel,,,,,다른채널 근접후보만 있음,E_any_channel_review_but_not_same,NOS2,0.9231,0.9231::교보문고(소설)::1980 독식하는 재벌!::673477 || 0.9231::구글(소설)::1980 독식하는 재벌!::673476 || 0.9231::네이버_연재::1980 독식하는 재벌!::488558 || 0.9231::네이버_연재(광고수익)::1980 독식하는 재벌!::488560 || 0.9231::네이버_장르(광고수익)::1980 독식하는 재벌!::673478,0.0,
NOS2_01,36,S2 전체 키 없음: 로직/데이터 2차 확인,구글(소설),고인물무림에가다,9,"고인물, 무림에 가다 1권 | [10%할인] 고인물, 무림에 가다 1권",1,2026-02__구글(소설)__SSOT.xlsx,no_s2_key_any_channel,,,,,다른채널 근접후보만 있음,E_any_channel_review_but_not_same,NOS2,0.91,0.91::네이버_연재::고인물 무림에 가다_갈드_창작지원금::901052 || 0.91::네이버_장르::고인물 무림에 가다_갈드_창작지원금::901059 || 0.91::무툰(소설 서비스)::고인물 무림에 가다_갈드_창작지원금::901082 || 0.91::조아라(소설)::고인물 무림에 가다_갈드_창작지원금::901680 || 0.91::카카오페이지(선투자)::고인물 무림에 가다_갈드_창작지원금::901947,0.0,
NOS2_02,65,S2 전체 키 없음: 로직/데이터 2차 확인,원스토어(소설),아포칼립스인데나혼자농사,3,아포칼립스인데 나 혼자 농사,1,2026-02__원스토어(소설)__SSOT.xlsx,no_s2_key_any_channel,,,,,다른채널 근접후보만 있음,E_any_channel_review_but_not_same,NOS2,0.91,0.91::Yes24(서점)::0_아포칼립스인데나혼자농사_이루이_일반::846375 || 0.91::구글(소설)::0_아포칼립스인데나혼자농사_이루이_일반::846367 || 0.91::네이버_장르::0_아포칼립스인데나혼자농사_이루이_일반::809361 || 0.91::리디북스(소설)::0_아포칼립스인데나혼자농사_이루이_일반::489273 || 0.91::알라딘(소설)(1068659313)::0_아포칼립스인데나혼자농사_이루이_일반::901450,0.0,
NOS2_02,67,S2 전체 키 없음: 로직/데이터 2차 확인,카카오페이지(소설),백치공주시리즈,3,백치 공주 시리즈,1,2026-02__카카오페이지(소설)__SSOT.xlsx,no_s2_key_any_channel,,,,,다른채널 근접후보만 있음,D_any_channel_strong_but_not_same,NOS2,1.0,1.0::봄툰KR(1068149784)::백치공주::160040,0.0,
NOS2_02,90,S2 전체 키 없음: 로직/데이터 2차 확인,카카오페이지(소설),아포칼립스인데나혼자농사,2,아포칼립스인데 나 혼자 농사,1,2026-02__카카오페이지(소설)__SSOT.xlsx,no_s2_key_any_channel,,,,,다른채널 근접후보만 있음,E_any_channel_review_but_not_same,NOS2,0.91,0.91::Yes24(서점)::0_아포칼립스인데나혼자농사_이루이_일반::846375 || 0.91::구글(소설)::0_아포칼립스인데나혼자농사_이루이_일반::846367 || 0.91::네이버_장르::0_아포칼립스인데나혼자농사_이루이_일반::809361 || 0.91::리디북스(소설)::0_아포칼립스인데나혼자농사_이루이_일반::489273 || 0.91::알라딘(소설)(1068659313)::0_아포칼립스인데나혼자농사_이루이_일반::901450,0.0,
NOS2_03,108,S2 전체 키 없음: 로직/데이터 2차 확인,구글(소설),야한연극의ts주인공이되었다,1,야한 연극의 TS 주인공이 되었다 1권,1,2026-02__구글(소설)__SSOT.xlsx,no_s2_key_any_channel,,,,,다른채널 근접후보만 있음,E_any_channel_review_but_not_same,NOS2,0.91,0.91::Yes24(서점)::0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반::878921 || 0.91::교보문고(소설)::0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반::857905 || 0.91::네이버_연재::0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반::869286 || 0.91::네이버_장르::0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반::879209 || 0.91::리디북스(소설)::0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반::870811,0.0,
NOS2_03,120,S2 전체 키 없음: 로직/데이터 2차 확인,네이버_연재,아포칼립스인데나혼자농사,1,아포칼립스인데 나 혼자 농사 [독점],1,2026-02__네이버_연재__SSOT.xlsx,no_s2_key_any_channel,,,,,다른채널 근접후보만 있음,E_any_channel_review_but_not_same,NOS2,0.91,0.91::Yes24(서점)::0_아포칼립스인데나혼자농사_이루이_일반::846375 || 0.91::구글(소설)::0_아포칼립스인데나혼자농사_이루이_일반::846367 || 0.91::네이버_장르::0_아포칼립스인데나혼자농사_이루이_일반::809361 || 0.91::리디북스(소설)::0_아포칼립스인데나혼자농사_이루이_일반::489273 || 0.91::알라딘(소설)(1068659313)::0_아포칼립스인데나혼자농사_이루이_일반::901450,0.0,
NOS2_03,125,S2 전체 키 없음: 로직/데이터 2차 확인,네이버_장르,독식하는재벌세,1,독식하는 재벌 3세 [단행본],1,2026-02__네이버_장르__SSOT.xlsx,no_s2_key_any_channel,,,,,다른채널 근접후보만 있음,E_any_channel_review_but_not_same,NOS2,0.9231,0.9231::교보문고(소설)::1980 독식하는 재벌!::673477 || 0.9231::구글(소설)::1980 독식하는 재벌!::673476 || 0.9231::네이버_연재::1980 독식하는 재벌!::488558 || 0.9231::네이버_연재(광고수익)::1980 독식하는 재벌!::488560 || 0.9231::네이버_장르(광고수익)::1980 독식하는 재벌!::673478,0.0,
NOS2_03,130,S2 전체 키 없음: 로직/데이터 2차 확인,네이버_장르,야한규칙으로다따먹음,1,야한 규칙으로 다 따먹음 [단행본],1,2026-02__네이버_장르__SSOT.xlsx,no_s2_key_any_channel,,,,,다른채널 근접후보만 있음,E_any_channel_review_but_not_same,NOS2,0.91,0.91::Yes24(서점)::0_야한규칙으로 다 따먹음_파워레인젖_일반::889829 || 0.91::교보문고(소설)::0_야한규칙으로 다 따먹음_파워레인젖_일반::863787 || 0.91::구글(소설)::0_야한규칙으로 다 따먹음_파워레인젖_일반::901106 || 0.91::네이버_연재::0_야한규칙으로 다 따먹음_파워레인젖_일반::869284 || 0.91::무툰(소설 서비스)::0_야한규칙으로 다 따먹음_파워레인젖_일반::869635,0.0,
NOS2_03,136,S2 전체 키 없음: 로직/데이터 2차 확인,리디북스(소설),고인물무림에가다,1,"고인물, 무림에 가다 1화",1,2026-02__리디북스(소설)__SSOT.xlsx,no_s2_key_any_channel,,,,,다른채널 근접후보만 있음,E_any_channel_review_but_not_same,NOS2,0.91,0.91::네이버_연재::고인물 무림에 가다_갈드_창작지원금::901052 || 0.91::네이버_장르::고인물 무림에 가다_갈드_창작지원금::901059 || 0.91::무툰(소설 서비스)::고인물 무림에 가다_갈드_창작지원금::901082 || 0.91::조아라(소설)::고인물 무림에 가다_갈드_창작지원금::901680 || 0.91::카카오페이지(선투자)::고인물 무림에 가다_갈드_창작지원금::901947,0.0,
NOS2_06,280,S2 전체 키 없음: 로직/데이터 2차 확인,조아라(소설),아포칼립스인데나혼자농사,1,아포칼립스인데 나 혼자 농사,1,2026-02__조아라(소설)__SSOT.xlsx,no_s2_key_any_channel,,,,,다른채널 근접후보만 있음,E_any_channel_review_but_not_same,NOS2,0.91,0.91::Yes24(서점)::0_아포칼립스인데나혼자농사_이루이_일반::846375 || 0.91::구글(소설)::0_아포칼립스인데나혼자농사_이루이_일반::846367 || 0.91::네이버_장르::0_아포칼립스인데나혼자농사_이루이_일반::809361 || 0.91::리디북스(소설)::0_아포칼립스인데나혼자농사_이루이_일반::489273 || 0.91::알라딘(소설)(1068659313)::0_아포칼립스인데나혼자농사_이루이_일반::901450,0.0,
NOS2_06,281,S2 전체 키 없음: 로직/데이터 2차 확인,조아라(소설),야한연극의ts주인공이되었다,1,야한 연극의 TS 주인공이 되었다 (단행본),1,2026-02__조아라(소설)__SSOT.xlsx,no_s2_key_any_channel,,,,,다른채널 근접후보만 있음,E_any_channel_review_but_not_same,NOS2,0.91,0.91::Yes24(서점)::0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반::878921 || 0.91::교보문고(소설)::0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반::857905 || 0.91::네이버_연재::0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반::869286 || 0.91::네이버_장르::0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반::879209 || 0.91::리디북스(소설)::0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반::870811,0.0,
