정제키,채널수,총행수,대표세부판단유형,세부판단유형목록,콘텐츠마스터_fuzzy_overlay,판매채널목록,원문예시,대표근거
유산받아레벨업,3,12,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(12),,구글(소설) | 리디북스(소설) | 카카오페이지(선투자),유산 받아 레벨 업! 2화 | 유산 받아 레벨 업! 3화 | 유산 받아 레벨 업! 4화 | 유산 받아 레벨 업! 5화 | 유산 받아 레벨 업! 6화 | [e북]유산 받아 레벨 업! 1권 | 유산 받아 레벨 업! 1권 | 유산 받아 레벨 업! 2권 | 유산 받아 레벨 업! 3권 | 유산 받아 레벨 업!,모픽(mofic)::110097 || 토스(소설)::110097 || 웹소설 하이북::110097 || 미소설::110097 || 무툰(소설 서비스)::110097 || 모픽(mofic)::110097 || 토스(소설)::110097 || 웹소설 하이북::110097 || 미소설::110097 || 무툰(소설 서비스)::110097 || 모픽(mofic)::110097 || 토스(소설)::110097 || 웹소설 하이북::110097 || 미소설::110097 || 무툰(소설 서비스)::110097
신체가강화됨,2,11,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(11),,조아라(소설) | 판무림,신체가 강화됨 | 신체가 강화됨 (단행본),Yes24(서점)::107764 || 네이버_연재::107764 || 윌라(전자책)::107764 || 윌라(오디오북)::107764 || 밀리의 서재::107764 || Yes24(서점)::107764 || 네이버_연재::107764 || 윌라(전자책)::107764 || 윌라(오디오북)::107764 || 밀리의 서재::107764
검,5,10,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),"같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(9) | 콘텐츠마스터 있음, 판매채널/지급정산 신규 판단(1)",,구글(소설) | 리디북스(소설) | 무툰(소설 서비스) | 미스터블루(소설) | 한아름(P000003716),검(劍) | 검(劍) 1권 | 검(劍),A_정산서등장_정산정보없음::190912::111330::검(劍) || A_정산서등장_정산정보없음::111891::111330::검(劍) || A_정산서등장_정산정보없음::190905::111330::검(劍)
무유지,4,10,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(9) | 같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,교보문고(소설) | 미스터블루(소설) | 원스토어(소설) | 한아름(P000003716),무유지 | 무유지 8 | 무유지 [단행본],B_잠재오염_정산정보없음::488009::160166::무유지 || A_정산서등장_정산정보없음::163350::160166::무유지 || B_잠재오염_정산정보없음::163351::160166::무유지
시간의마에스트로,1,10,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(10)",,원스토어(소설),시간의 마에스트로,
리턴오브로드,3,9,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(9),,구글(소설) | 모픽(mofic) | 윌라(전자책),리턴 오브 로드 1 | 리턴 오브 로드 2 | 리턴 오브 로드 3 | 리턴 오브 로드 4 | 리턴 오브 로드 5 | 리턴 오브 로드 6 | 리턴 오브 로드 1권 | 리턴 오브 로드,카카오페이지(창작지원금)::110746 || 카카오페이지(소설)::110746 || 카카오페이지(창작지원금)::110746 || 카카오페이지(소설)::110746 || 카카오페이지(창작지원금)::110746 || 카카오페이지(소설)::110746
사이코패스살인마는살고싶다,2,9,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(9)",,모픽(mofic) | 밀리의 서재,사이코패스 살인마는 살고 싶다 | 사이코패스 살인마는 살고 싶다,
소설황당무계,1,9,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(9),,교보문고(소설),소설 황당무계 1 | 소설 황당무계 2 | 소설 황당무계 3 | 소설 황당무계 4 | 소설 황당무계 5 | 소설 황당무계 6,B_잠재오염_정산정보없음::163305::160151::소설황당무계
용사무적,3,9,같은채널 판매채널콘텐츠 있음(C급 사용안함/차단 확인),같은채널 판매채널콘텐츠 있음(C급 사용안함/차단 확인)(9),,구글(소설) | 부커스 | 알라딘(소설)(1068659313),용사무적 1 | 용사무적 2 | 용사무적 1권 | 용사무적 5권,C_사용안함_사용금지_선차단::889209::114786::(사용안함)_용사무적 || C_사용안함_사용금지_선차단::115453::114786::(사용안함)_용사무적 || C_사용안함_사용금지_선차단::212843::114786::(사용안함)_용사무적
ts에로게임탈출기,1,8,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(8),,구글(소설),TS 에로 게임 탈출기 1권,밀리의 서재::107778 || 스낵북(알에스)::107778 || 블라이스_일반결제::107778 || 북큐브(소설)::107778 || 미소설::107778
검웅영제,4,8,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(7) | 같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,무툰(소설 서비스) | 미소설 | 웹소설 하이북 | 판무림,검웅영제(무삭제 개정판) | 검웅영제(무삭제 개정판) | 검웅영제(무삭제 개정판) [단행본] | 검웅영제(무삭제 개정판),A_정산서등장_정산정보없음::191014::111345::검웅영제(무삭제 개정판) || A_정산서등장_정산정보없음::191013::111345::검웅영제(무삭제 개정판) || A_정산서등장_정산정보없음::111907::111345::검웅영제(무삭제 개정판)
연봉조신입사원,1,8,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(8)",,카카오페이지(선투자),연봉 1조 신입사원,
독검,2,7,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(7),,미스터블루(소설) | 원스토어(소설),독검 | 독검 [단행본],B_잠재오염_정산정보없음::488170::160066::독검 || B_잠재오염_정산정보없음::488042::160066::독검
소림대협,1,7,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(7),,교보문고(소설),소림대협 1 | 소림대협 2 | 소림대협 3 | 소림대협 4 | 소림대협 5 | 소림대협 6,B_잠재오염_정산정보없음::488196::160162::소림대협
아버지가남긴usb,2,7,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(7),,Yes24(서점) | 판무림,아버지가 남긴 USB | 아버지가 남긴 USB 01권,261481::[CP웹툰] 아버지가 남긴 USB::IP프로듀싱팀::노종아 || 150480::아버지가 남긴 USB::레진콘텐츠팀::조성경 || 261481::[CP웹툰] 아버지가 남긴 USB::IP프로듀싱팀::노종아 || 150480::아버지가 남긴 USB::레진콘텐츠팀::조성경
아포칼립스인데나혼자농사,4,7,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(7),,네이버_연재 | 원스토어(소설) | 조아라(소설) | 카카오페이지(소설),아포칼립스인데 나 혼자 농사 | 아포칼립스인데 나 혼자 농사 | 아포칼립스인데 나 혼자 농사 [독점],247320::0_아포칼립스인데나혼자농사_이루이_일반::소설편집팀::조원재 || 247320::0_아포칼립스인데나혼자농사_이루이_일반::소설편집팀::조원재 || 247320::0_아포칼립스인데나혼자농사_이루이_일반::소설편집팀::조원재
혈무연,6,7,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(6) | 같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,구글(소설) | 네이버_장르 | 무툰(소설 서비스) | 미스터블루(소설) | 웹소설 하이북 | 한아름(P000003716),[10%할인] 혈무연 1 | [10%할인] 혈무연 3 (완결) | 혈무연 | 혈무연 [단행본],A_정산서등장_정산정보없음::117033::116315::혈무연 || A_정산서등장_정산정보없음::222509::116315::혈무연 || A_정산서등장_정산정보없음::222510::116315::혈무연
역전세계의금태양,1,6,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(6),,윌라(전자책),역전세계의 금태양 1 | 역전세계의 금태양 2 | 역전세계의 금태양 3 | 역전세계의 금태양 4 | 역전세계의 금태양 5 | 역전세계의 금태양 6,알라딘(소설)(1068659313)::107826 || Yes24(서점)::107826 || 구글(소설)::107826 || 미스터블루(소설)::107826 || 블라이스_일반결제::107826
천의역근참수기,3,6,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(6),,무툰(소설 서비스) | 미스터블루(소설) | 판무림,천의역근참수기 | 천의역근참수기 | 천의역근참수기 [단행본],B_잠재오염_정산정보없음::218538::115644::천의역근참수기 || B_잠재오염_정산정보없음::116337::115644::천의역근참수기 || B_잠재오염_정산정보없음::218534::115644::천의역근참수기
함부로동정하지말것,1,6,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(6),,카카오페이지(소설),함부로 동정하지 말 것 [19세 완전판] | 함부로 동정하지 말 것,A_정산서등장_정산정보없음::842697::322344::[CP웹툰] 함부로 동정하지 말 것 || A_정산서등장_정산정보없음::842700::322347::함부로 동정하지 말 것 (19세 완전판)(연재)
소뢰아,1,5,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(5),,판무림,소뢰아,B_잠재오염_정산정보없음::568079::109526::[연재] 소뢰아
스피크오브더데블,1,5,"콘텐츠마스터 있음, 판매채널/지급정산 신규 판단","콘텐츠마스터 있음, 판매채널/지급정산 신규 판단(5)",,리디북스(소설),[e북]스피크 오브 더 데블(Speak Of The Devil) 5권 (완결) | [e북]스피크 오브 더 데블(Speak Of The Devil) 4권 | [e북]스피크 오브 더 데블(Speak Of The Devil) 1권 | [e북]스피크 오브 더 데블(Speak Of The Devil) 2권 | [e북]스피크 오브 더 데블(Speak Of The Devil) 3권,159989::스피크 오브 더 데블::패밀리케어팀::원대연
용쟁혈투,1,5,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(5),,교보문고(소설),용쟁혈투 1 | 용쟁혈투 2 | 용쟁혈투 3 | 용쟁혈투 4 | 용쟁혈투 5,B_잠재오염_정산정보없음::163147::160068::용쟁혈투
중원지,2,5,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(4) | 같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,교보문고(소설) | 미스터블루(소설),중원지 1 | 중원지 2 | 중원지 3 | 중원지 4 | 중원지 [단행본],B_잠재오염_정산정보없음::163369::160173::중원지 || A_정산서등장_정산정보없음::163370::160173::중원지
각인예속의사냥꾼,3,4,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(4),,Yes24(서점) | 구글(소설) | 블라이스_일반결제,각인 예속의 사냥꾼 12권 | 각인 예속의 사냥꾼 11권 | 각인 예속의 사냥꾼 1권 | 각인 예속의 사냥꾼,밀리의 서재::107780 || 알라딘(소설)(1068659313)::107780 || 리디북스(소설)::107780 || 스낵북(알에스)::107780 || 윌라(전자책)::107780 || 밀리의 서재::107780 || 알라딘(소설)(1068659313)::107780 || 리디북스(소설)::107780 || 스낵북(알에스)::107780 || 윌라(전자책)::107780 || 밀리의 서재::107780 || 알라딘(소설)(1068659313)::107780 || 리디북스(소설)::107780 || 스낵북(알에스)::107780 || 윌라(전자책)::107780
곤륜신기전,1,4,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(4),,카카오페이지(선투자),곤륜신기전,A_정산서등장_정산정보없음::111210::110683::[카카오]곤륜신기전
귀축기담,1,4,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(4),,Yes24(서점),귀축기담 01권 | 귀축기담 02권 | 귀축기담 03권 | 귀축기담 04권 (완결),밀리의 서재::107785 || 알라딘(소설)(1068659313)::107785 || 네이버_연재::107785 || 윌라(전자책)::107785 || 판무림::107785
내가키운용사가나한테집착한다,1,4,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(4),,윌라(전자책),내가 키운 용사가 나한테 집착한다 1 | 내가 키운 용사가 나한테 집착한다 2 | 내가 키운 용사가 나한테 집착한다 3 | 내가 키운 용사가 나한테 집착한다 8,네이버_장르::107791 || 북팔(소설)::107791 || 네이버_연재::107791 || 구글(소설)::107791 || 리디북스(소설)::107791
범죄자의일상생활,2,4,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(4),,웹소설 하이북 | 윌라(전자책),범죄자의 일상생활 1 | 범죄자의 일상생활 2 | 범죄자의 일상생활 5 | 범죄자의 일상생활,알라딘(소설)(1068659313)::109330 || 에피루스 이북클럽(B2C)::109330 || 교보문고(톡소다)::109330 || 리디북스(이벤트)::109330 || 스낵북(알에스)::109330 || 알라딘(소설)(1068659313)::109330 || 에피루스 이북클럽(B2C)::109330 || 교보문고(톡소다)::109330 || 리디북스(이벤트)::109330 || 스낵북(알에스)::109330
십교종사,4,4,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(2) | 같은채널 판매채널콘텐츠 있음(B급 잠재오염)(2),,네이버_장르 | 미스터블루(소설) | 웹소설 하이북 | 한아름(P000003716),십교종사 [단행본] | 십교종사 [단행본] | 십교종사,A_정산서등장_정산정보없음::209289::114193::십교종사 || A_정산서등장_정산정보없음::209291::114193::십교종사 || B_잠재오염_정산정보없음::209295::114193::십교종사
월드스타가될운명입니다,1,4,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(4)",콘텐츠마스터 부분포함 후보(사용안함/묶음)(1),카카오페이지(선투자),월드스타가 될 운명입니다,0.7387::320883::[사용안함]_월드스타가 될 운명입니다_마늘소금::소설편집팀::조원재 || 0.7387::320886::[사용안함]_월드스타가 될 운명입니다_마늘소금::소설편집팀::조원재
음공천하,4,4,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(4),,교보문고(소설) | 구글(소설) | 무툰(소설 서비스) | 미스터블루(소설),음공천하 | 음공천하 1권 | 음공천하,312022::[카카오]음공천하 단행본::소설유통팀::김성경 || 110854::0_음공천하_서호_일반::소설편집팀::조원재 || 312022::[카카오]음공천하 단행본::소설유통팀::김성경 || 110854::0_음공천하_서호_일반::소설편집팀::조원재 || 312022::[카카오]음공천하 단행본::소설유통팀::김성경 || 110854::0_음공천하_서호_일반::소설편집팀::조원재
인더프라이빗룸,4,4,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(4),,네이버_연재 | 네이버_장르 | 에피루스 이북클럽(B2C) | 큐툰(소설 서비스),인 더 프라이빗 룸 [BL] | 인 더 프라이빗 룸 [BL][단행본] | 인 더 프라이빗 룸(In The Private Room) 6(완결),325566::[봄툰e북]인 더 프라이빗 룸 (In The Private Room)::봄툰소설편집팀::배지은 || 115085::인 더 프라이빗 룸(In The Private Room) 외전2::봄툰소설편집팀::배지은 || 115084::인 더 프라이빗 룸(In The Private Room) 외전1::봄툰소설편집팀::배지은 || 115082::인 더 프라이빗 룸(In The Private Room) 세트 (외전 포함)::봄툰소설편집팀::배지은 || 108310::[봄툰] 인 더 프라이빗 룸(In the private room)::봄툰소설편집팀::배지은 || 325566::[봄툰e북]인 더 프라이빗 룸 (In The Private Room)::봄툰소설편집팀::배지은 || 115085::인 더 프라이빗 룸(In The Private Room) 외전2::봄툰소설편집팀::배지은 || 115084::인 더 프라이빗 룸(In The Private Room) 외전1::봄툰소설편집팀::배지은 || 115082::인 더 프라이빗 룸(In The Private Room) 세트 (외전 포함)::봄툰소설편집팀::배지은 || 108310::[봄툰] 인 더 프라이빗 룸(In the private room)::봄툰소설편집팀::배지은 || 325566::[봄툰e북]인 더 프라이빗 룸 (In The Private Room)::봄툰소설편집팀::배지은 || 115085::인 더 프라이빗 룸(In The Private Room) 외전2::봄툰소설편집팀::배지은 || 115084::인 더 프라이빗 룸(In The Private Room) 외전1::봄툰소설편집팀::배지은 || 115082::인 더 프라이빗 룸(In The Private Room) 세트 (외전 포함)::봄툰소설편집팀::배지은 || 108310::[봄툰] 인
태양천자,3,4,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(3) | 같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설) | 웹소설 하이북 | 한아름(P000003716),태양천자 | 태양천자 [단행본] | 태양천자,A_정산서등장_정산정보없음::220166::115944::태양천자 || A_정산서등장_정산정보없음::220161::115944::태양천자 || B_잠재오염_정산정보없음::220164::115944::태양천자
팔왕예조,2,4,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(3) | 같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,웹소설 하이북 | 판무림,팔왕예조 | 팔왕예조,B_잠재오염_정산정보없음::220510::116022::팔왕예조 || A_정산서등장_정산정보없음::220509::116022::팔왕예조
rpg시티,1,3,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(3),,카카오페이지(선투자),RPG시티[완결],A_정산서등장_정산정보없음::589754::295582::RPG시티[완결]
구룡겁,3,3,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(2) | 같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,무툰(소설 서비스) | 웹소설 하이북 | 판무림,구룡겁 | 구룡겁 | 구룡겁,A_정산서등장_정산정보없음::192469::111572::구룡겁 || A_정산서등장_정산정보없음::192473::111572::구룡겁 || B_잠재오염_정산정보없음::192474::111572::구룡겁
마법배운재벌집늦둥이,3,3,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(3),,구글(소설) | 네이버_장르 | 알라딘(소설)(1068659313),마법 배운 재벌집 늦둥이 1권 | 마법 배운 재벌집 늦둥이 [단행본] | 마법 배운 재벌집 늦둥이 01,카카오페이지(선투자)::112857 || 노벨피아 (소설)::112857 || 모픽(mofic)::112857 || 에이블리(소설)::112857 || 미스터블루(소설)::112857 || 카카오페이지(선투자)::112857 || 노벨피아 (소설)::112857 || 모픽(mofic)::112857 || 에이블리(소설)::112857 || 미스터블루(소설)::112857 || 카카오페이지(선투자)::112857 || 노벨피아 (소설)::112857 || 모픽(mofic)::112857 || 에이블리(소설)::112857 || 미스터블루(소설)::112857
메소드로맨스웹툰출간기념수인메소드비스트로맨스,2,3,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(3)",,리디북스(소설) | 알라딘(소설)(1068659313),[BL] 메소드 로맨스 (개정판) 웹툰 출간 기념 수인 외전: 메소드 비스트 로맨스 | [e북]개정판 | 메소드 로맨스 웹툰 출간 기념 수인 외전 : 메소드 비스트 로맨스,
백치공주시리즈,1,3,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(3),,카카오페이지(소설),백치 공주 시리즈,A_정산서등장_정산정보없음::186235::110596::[카카오] 백치 공주 시리즈
색마님안마하신다,1,3,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(3),,교보문고(소설),색마님 안마하신다 | 색마님 안마하신다.2 | 색마님 안마하신다.3,구글(소설)::107809 || 밀리의 서재::107809 || 판무림::107809 || 스낵북(알에스)::107809 || 윌라(전자책)::107809
어서와마왕은처음이지,3,3,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(3),,Yes24(서점) | 네이버_연재 | 노벨피아 (소설),"어서 와, 마왕은 처음이지? 01권 | 어서 와, 마왕은 처음이지? [독점] | 어서 와, 마왕은 처음이지?",네이버_장르::247290 || 토스(소설)::247290 || 모픽(mofic)::247290 || 판무림::247290 || 카카오페이지(소설)::247290 || 네이버_장르::247290 || 토스(소설)::247290 || 모픽(mofic)::247290 || 판무림::247290 || 카카오페이지(소설)::247290 || 네이버_장르::247290 || 토스(소설)::247290 || 모픽(mofic)::247290 || 판무림::247290 || 카카오페이지(소설)::247290
전생에천마였던드래곤,3,3,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(3),,네이버_장르 | 리디북스(소설) | 모픽(mofic),전생에 천마였던 드래곤 [단행본] | [e북]전생에 천마였던 드래곤 1권 | 전생에 천마였던 드래곤,노벨피아 (소설)::295600 || 블라이스_일반결제::295600 || 에피루스 이북클럽(B2C)::295600 || 미스터블루(소설)::295600 || 네이버_장르(광고수익)::295600 || 노벨피아 (소설)::295600 || 블라이스_일반결제::295600 || 에피루스 이북클럽(B2C)::295600 || 미스터블루(소설)::295600 || 네이버_장르(광고수익)::295600 || 노벨피아 (소설)::295600 || 블라이스_일반결제::295600 || 에피루스 이북클럽(B2C)::295600 || 미스터블루(소설)::295600 || 네이버_장르(광고수익)::295600
칠기무제,3,3,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(2) | 같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,무툰(소설 서비스) | 미소설 | 웹소설 하이북,칠기무제(무삭제 개정판) | 칠기무제(무삭제 개정판) | 칠기무제 (무삭제 개정판),A_정산서등장_정산정보없음::116524::115816::칠기무제(무삭제 개정판) || A_정산서등장_정산정보없음::219470::115816::칠기무제(무삭제 개정판) || B_잠재오염_정산정보없음::219466::115816::칠기무제(무삭제 개정판)
칠색무,3,3,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(2) | 같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,무툰(소설 서비스) | 미스터블루(소설) | 판무림,칠색무 [단행본] | 칠색무 | 칠색무,A_정산서등장_정산정보없음::219482::115819::칠색무 || B_잠재오염_정산정보없음::631422::115819::칠색무 || B_잠재오염_정산정보없음::219486::115819::칠색무
패배용사약골용사의에로대모험,3,3,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(3),,교보문고(소설) | 미스터블루(소설) | 윌라(전자책),패배 용사 - 약골 용사의 에로 대모험! -.2 | 패배 용사 - 약골 용사의 에로 대모험! | 패배 용사  약골 용사의 에로 대모험! 2,밀리의 서재::107845 || 블라이스_일반결제::107845 || 구글(소설)::107845 || 알라딘(소설)(1068659313)::107845 || 한아름(P000003716)::107845 || 밀리의 서재::107845 || 블라이스_일반결제::107845 || 구글(소설)::107845 || 알라딘(소설)(1068659313)::107845 || 한아름(P000003716)::107845 || 밀리의 서재::107845 || 블라이스_일반결제::107845 || 구글(소설)::107845 || 알라딘(소설)(1068659313)::107845 || 한아름(P000003716)::107845
플라스틱먹고살면생활비원,2,3,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(3),,구글(소설) | 윌라(전자책),플라스틱 먹고 살면 생활비 0원 1 | 플라스틱 먹고 살면 생활비 0원 3 | 플라스틱 먹고 살면 생활비 0원 1권,밀리의 서재::107847 || 블라이스_일반결제::107847 || 미소설::107847 || 무툰(소설 서비스)::107847 || 밀리의 서재::107847 || 블라이스_일반결제::107847 || 미소설::107847 || 무툰(소설 서비스)::107847
